Date	Plot	Section	Buds	Flowers	Senescent	Larvae	Eaten	Field_remarks	General_remarks
1996-07-08	Dry4	A-D	1	37	70	0	3	No remarks	No remarks
1996-07-08	Dry5	A-D	2	124	45	0	4	No remarks	No remarks
1996-07-08	Dry6	A-D	100	0	0	0	0	No remarks	No remarks
1996-07-15	Dry2	A-D	100	0	0	0	0	No remarks	No remarks
1996-07-15	Dry3	A-D	0	39	84	0	0	No remarks	No remarks
1996-07-15	Dry4	A-D	0	1	99	0	0	No remarks	No remarks
1996-07-15	Dry5	A-D	0	11	103	0	0	No remarks	No remarks
1996-07-15	Dry6	A-D	93	7	0	0	0	No remarks	No remarks
1996-07-22	Dry2	A-D	53	141	0	0	0	No remarks	No remarks
1996-07-22	Dry3	A-D	0	0	100	0	0	No remarks	No remarks
1996-07-22	Dry4	A-D	0	0	100	0	0	No remarks	No remarks
1996-07-22	Dry5	A-D	0	0	100	0	0	No remarks	No remarks
1996-07-22	Dry6	A-D	54	220	7	0	0	No remarks	No remarks
1996-07-29	Dry2	A-D	1	94	73	0	0	No remarks	No remarks
1996-07-29	Dry6	A-D	6	83	112	0	0	No remarks	No remarks
1996-08-05	Dry2	A-D	0	2	98	0	0	No remarks	No remarks
1996-08-05	Dry6	A-D	0	3	97	0	0	No remarks	No remarks
1996-08-12	Dry2	A-D	0	0	100	0	0	No remarks	No remarks
1996-08-12	Dry6	A-D	0	0	100	0	0	No remarks	No remarks
1997-05-27	Dry1	A	0	0	0	0	0	No remarks	No remarks
1997-05-27	Dry1	B	0	0	0	0	0	No remarks	No remarks
1997-05-27	Dry1	C	0	0	0	0	0	No remarks	No remarks
1997-05-27	Dry1	D	0	0	0	0	0	No remarks	No remarks
1997-05-27	Dry3	A	0	0	0	0	0	No remarks	No remarks
1997-05-27	Dry3	B	0	0	0	0	0	No remarks	No remarks
1997-05-27	Dry3	C	0	0	0	0	0	No remarks	No remarks
1997-05-27	Dry3	D	0	0	0	0	0	No remarks	No remarks
1997-06-03	Dry1	A	0	0	0	0	0	24 m to edge of snow to the east	No remarks
1997-06-03	Dry1	B	0	0	0	0	0	No remarks	No remarks
1997-06-03	Dry1	C	0	0	0	0	0	No remarks	No remarks
1997-06-03	Dry1	D	0	0	0	0	0	No remarks	No remarks
1997-06-03	Dry3	A	0	0	0	0	0	No remarks	No remarks
1997-06-03	Dry3	B	0	0	0	0	0	No remarks	No remarks
1997-06-03	Dry3	C	0	0	0	0	0	No remarks	No remarks
1997-06-03	Dry3	D	0	0	0	0	0	No remarks	No remarks
1997-06-03	Dry4	A	0	0	0	0	0	No remarks	No remarks
1997-06-03	Dry4	B	0	0	0	0	0	No remarks	No remarks
1997-06-03	Dry4	C	0	0	0	0	0	No remarks	No remarks
1997-06-03	Dry4	D	0	0	0	0	0	No remarks	No remarks
1997-06-03	Dry5	A	0	0	0	0	0	No remarks	No remarks
1997-06-03	Dry5	B	0	0	0	0	0	No remarks	No remarks
1997-06-03	Dry5	C	0	0	0	0	0	No remarks	No remarks
1997-06-03	Dry5	D	0	0	0	0	0	No remarks	No remarks
1997-06-10	Dry1	A	8	0	0	0	0	48 m to edge of snow. The plot extended 1 m towards south	No remarks
1997-06-10	Dry1	B	4	0	0	0	0	No remarks	No remarks
1997-06-10	Dry1	C	7	0	0	0	0	No remarks	No remarks
1997-06-10	Dry1	D	9	0	0	0	0	No remarks	No remarks
1997-06-10	Dry3	A	0	0	0	0	0	No remarks	No remarks
1997-06-10	Dry3	B	0	0	0	0	0	No remarks	No remarks
1997-06-10	Dry3	C	0	0	0	0	0	No remarks	No remarks
1997-06-10	Dry3	D	0	0	0	0	0	No remarks	No remarks
1997-06-10	Dry4	A	0	0	0	0	0	Extended 0.5 m towards N and S	No remarks
1997-06-10	Dry4	B	0	0	0	0	0	No remarks	No remarks
1997-06-10	Dry4	C	0	0	0	0	0	No remarks	No remarks
1997-06-10	Dry4	D	0	0	0	0	0	No remarks	No remarks
1997-06-10	Dry5	A	0	0	0	0	0	Extended 1m towards N	No remarks
1997-06-10	Dry5	B	0	0	0	0	0	No remarks	No remarks
1997-06-10	Dry5	C	0	0	0	0	0	No remarks	No remarks
1997-06-10	Dry5	D	0	0	0	0	0	No remarks	No remarks
1997-06-17	Dry1	A	18	1	0	0	0	100 m to edge of snow	No remarks
1997-06-17	Dry1	B	23	3	0	0	0	No remarks	No remarks
1997-06-17	Dry1	C	20	3	0	0	0	No remarks	No remarks
1997-06-17	Dry1	D	27	2	0	0	0	No remarks	No remarks
1997-06-17	Dry3	A	19	0	0	0	0	No remarks	No remarks
1997-06-17	Dry3	B	19	2	0	0	0	No remarks	No remarks
1997-06-17	Dry3	C	17	0	0	0	0	No remarks	No remarks
1997-06-17	Dry3	D	15	0	0	0	0	No remarks	No remarks
1997-06-17	Dry4	A	0	0	0	0	0	No remarks	No remarks
1997-06-17	Dry4	B	0	0	0	0	0	No remarks	No remarks
1997-06-17	Dry4	C	0	0	0	0	0	No remarks	No remarks
1997-06-17	Dry4	D	0	0	0	0	0	No remarks	No remarks
1997-06-17	Dry5	A	0	0	0	0	0	No remarks	No remarks
1997-06-17	Dry5	B	0	0	0	0	0	No remarks	No remarks
1997-06-17	Dry5	C	0	0	0	0	0	No remarks	No remarks
1997-06-17	Dry5	D	0	0	0	0	0	No remarks	No remarks
1997-06-24	Dry1	A	17	14	0	0	0	No remarks	No remarks
1997-06-24	Dry1	B	12	27	0	0	2	No remarks	No remarks
1997-06-24	Dry1	C	8	14	0	0	1	No remarks	No remarks
1997-06-24	Dry1	D	8	26	1	0	2	No remarks	No remarks
1997-06-24	Dry3	A	14	9	0	0	0	No remarks	No remarks
1997-06-24	Dry3	B	10	14	0	0	3	No remarks	No remarks
1997-06-24	Dry3	C	18	2	0	0	1	No remarks	No remarks
1997-06-24	Dry3	D	16	8	0	0	2	No remarks	No remarks
1997-06-24	Dry4	A	2	0	0	0	0	No remarks	No remarks
1997-06-24	Dry4	B	0	0	0	0	0	No remarks	No remarks
1997-06-24	Dry4	C	0	0	0	0	0	No remarks	No remarks
1997-06-24	Dry4	D	0	0	0	0	0	No remarks	No remarks
1997-06-24	Dry5	A	0	0	0	0	0	No remarks	No remarks
1997-06-24	Dry5	B	0	0	0	0	0	No remarks	No remarks
1997-06-24	Dry5	C	0	0	0	0	0	No remarks	No remarks
1997-06-24	Dry5	D	0	0	0	0	0	No remarks	No remarks
1997-07-01	Dry2	A	0	0	0	0	0	No remarks	No remarks
1997-07-01	Dry2	B	0	0	0	0	0	No remarks	No remarks
1997-07-01	Dry2	C	0	0	0	0	0	No remarks	No remarks
1997-07-01	Dry2	D	0	0	0	0	0	No remarks	No remarks
1997-07-01	Dry4	A	21	3	0	0	0	No remarks	No remarks
1997-07-01	Dry4	B	21	0	0	0	0	No remarks	No remarks
1997-07-01	Dry4	C	16	0	0	0	0	No remarks	No remarks
1997-07-01	Dry4	D	45	2	0	0	0	No remarks	No remarks
1997-07-01	Dry5	A	19	3	0	0	0	No remarks	No remarks
1997-07-01	Dry5	B	28	5	0	0	0	No remarks	No remarks
1997-07-01	Dry5	C	6	0	0	0	0	No remarks	No remarks
1997-07-01	Dry5	D	28	12	0	0	1	No remarks	No remarks
1997-07-08	Dry1	A	0	1	22	0	0	No remarks	No remarks
1997-07-08	Dry1	B	0	1	37	0	0	No remarks	No remarks
1997-07-08	Dry1	C	0	1	21	0	0	No remarks	No remarks
1997-07-08	Dry1	D	0	0	22	0	0	No remarks	No remarks
1997-07-08	Dry2	A	0	0	0	0	0	No remarks	No remarks
1997-07-08	Dry2	B	0	0	0	0	0	No remarks	No remarks
1997-07-08	Dry2	C	0	0	0	0	0	No remarks	No remarks
1997-07-08	Dry2	D	0	0	0	0	0	No remarks	No remarks
1997-07-08	Dry3	A	0	1	17	0	0	No remarks	No remarks
1997-07-08	Dry3	B	0	4	22	0	0	No remarks	No remarks
1997-07-08	Dry3	C	0	3	16	0	0	No remarks	No remarks
1997-07-08	Dry3	D	0	1	17	0	0	No remarks	No remarks
1997-07-08	Dry4	A	14	20	0	0	0	No remarks	No remarks
1997-07-08	Dry4	B	9	10	0	0	0	No remarks	No remarks
1997-07-08	Dry4	C	9	15	0	0	0	No remarks	No remarks
1997-07-08	Dry4	D	17	38	0	0	0	No remarks	No remarks
1997-07-08	Dry5	A	5	28	0	0	4	No remarks	No remarks
1997-07-08	Dry5	B	13	20	0	0	0	No remarks	No remarks
1997-07-08	Dry5	C	10	8	0	0	0	No remarks	No remarks
1997-07-08	Dry5	D	7	28	1	0	3	No remarks	No remarks
1997-07-08	Dry6	A	0	0	0	0	0	No remarks	No remarks
1997-07-08	Dry6	B	0	0	0	0	0	No remarks	No remarks
1997-07-08	Dry6	C	0	0	0	0	0	No remarks	No remarks
1997-07-08	Dry6	D	0	0	0	0	0	No remarks	No remarks
1997-07-15	Dry1	A	0	0	20	0	0	No remarks	No remarks
1997-07-15	Dry1	B	0	0	25	0	0	No remarks	No remarks
1997-07-15	Dry1	C	0	1	22	0	0	No remarks	No remarks
1997-07-15	Dry1	D	0	0	20	0	0	No remarks	No remarks
1997-07-15	Dry2	A	0	0	0	0	0	No remarks	No remarks
1997-07-15	Dry2	B	0	0	0	0	0	No remarks	No remarks
1997-07-15	Dry2	C	0	0	0	0	0	No remarks	No remarks
1997-07-15	Dry2	D	0	0	0	0	0	No remarks	No remarks
1997-07-15	Dry3	A	0	0	50	0	0	No remarks	No remarks
1997-07-15	Dry3	B	0	0	50	0	0	No remarks	No remarks
1997-07-15	Dry3	C	0	0	50	0	0	No remarks	No remarks
1997-07-15	Dry3	D	0	0	50	0	0	No remarks	No remarks
1997-07-15	Dry6	A	0	0	0	0	0	No remarks	No remarks
1997-07-15	Dry6	B	0	0	0	0	0	No remarks	No remarks
1997-07-15	Dry6	C	0	0	0	0	0	No remarks	No remarks
1997-07-15	Dry6	D	0	0	0	0	0	No remarks	No remarks
1997-07-22	Dry1	A	0	0	50	0	0	No remarks	No remarks
1997-07-22	Dry1	B	0	0	50	0	0	No remarks	No remarks
1997-07-22	Dry1	C	0	0	50	0	0	No remarks	No remarks
1997-07-22	Dry1	D	0	0	50	0	0	No remarks	No remarks
1997-07-22	Dry2	A	14	0	0	0	0	No remarks	No remarks
1997-07-22	Dry2	B	0	0	0	0	0	No remarks	No remarks
1997-07-22	Dry2	C	0	0	0	0	0	No remarks	No remarks
1997-07-22	Dry2	D	1	0	0	0	0	No remarks	No remarks
1997-07-22	Dry4	A	0	4	33	0	0	No remarks	No remarks
1997-07-22	Dry4	B	0	6	20	0	0	No remarks	No remarks
1997-07-22	Dry4	C	0	5	28	0	0	No remarks	No remarks
1997-07-22	Dry4	D	0	7	45	0	0	No remarks	No remarks
1997-07-22	Dry5	A	0	1	13	0	0	No remarks	No remarks
1997-07-22	Dry5	B	0	0	22	0	0	No remarks	No remarks
1997-07-22	Dry5	C	0	3	17	0	0	No remarks	No remarks
1997-07-22	Dry5	D	0	0	25	0	0	No remarks	No remarks
1997-07-22	Dry6	A	0	0	0	0	0	No remarks	No remarks
1997-07-22	Dry6	B	0	0	0	0	0	No remarks	No remarks
1997-07-22	Dry6	C	0	0	0	0	0	No remarks	No remarks
1997-07-22	Dry6	D	0	0	0	0	0	No remarks	No remarks
1997-07-29	Dry2	A	20	9	0	0	0	No remarks	No remarks
1997-07-29	Dry2	B	38	4	0	0	0	No remarks	No remarks
1997-07-29	Dry2	C	24	1	0	0	0	No remarks	No remarks
1997-07-29	Dry2	D	14	6	0	0	0	No remarks	No remarks
1997-07-29	Dry4	A	0	0	27	0	0	No remarks	No remarks
1997-07-29	Dry4	B	0	2	24	0	0	No remarks	No remarks
1997-07-29	Dry4	C	0	0	25	0	0	No remarks	No remarks
1997-07-29	Dry4	D	0	0	50	0	0	No remarks	No remarks
1997-07-29	Dry5	A	0	0	50	0	0	No remarks	No remarks
1997-07-29	Dry5	B	0	0	50	0	0	No remarks	No remarks
1997-07-29	Dry5	C	0	0	50	0	0	No remarks	No remarks
1997-07-29	Dry5	D	0	0	50	0	0	No remarks	No remarks
1997-07-29	Dry6	A	49	0	0	0	0	No remarks	No remarks
1997-07-29	Dry6	B	19	0	0	0	0	No remarks	No remarks
1997-07-29	Dry6	C	25	0	0	0	0	No remarks	No remarks
1997-07-29	Dry6	D	24	0	0	0	0	No remarks	No remarks
1997-08-05	Dry2	A	8	27	7	0	2	No remarks	No remarks
1997-08-05	Dry2	B	24	30	2	0	2	No remarks	No remarks
1997-08-05	Dry2	C	35	20	0	0	1	No remarks	No remarks
1997-08-05	Dry2	D	6	17	4	0	0	No remarks	No remarks
1997-08-05	Dry4	A	0	0	50	0	0	No remarks	No remarks
1997-08-05	Dry4	B	0	0	50	0	0	No remarks	No remarks
1997-08-05	Dry4	C	0	0	50	0	0	No remarks	No remarks
1997-08-05	Dry4	D	0	0	50	0	0	No remarks	No remarks
1997-08-05	Dry6	A	48	2	0	0	0	No remarks	No remarks
1997-08-05	Dry6	B	40	16	0	0	0	No remarks	No remarks
1997-08-05	Dry6	C	60	4	0	0	0	No remarks	No remarks
1997-08-05	Dry6	D	47	7	0	0	0	No remarks	No remarks
1997-08-12	Dry2	A	0	4	24	0	0	No remarks	No remarks
1997-08-12	Dry2	B	0	14	34	0	0	No remarks	No remarks
1997-08-12	Dry2	C	4	23	12	0	0	No remarks	No remarks
1997-08-12	Dry2	D	0	15	26	0	0	No remarks	No remarks
1997-08-12	Dry6	A	17	49	2	0	0	No remarks	No remarks
1997-08-12	Dry6	B	5	49	1	0	0	No remarks	No remarks
1997-08-12	Dry6	C	32	51	1	0	0	No remarks	No remarks
1997-08-12	Dry6	D	7	64	2	0	0	No remarks	No remarks
1997-08-19	Dry2	A	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Dry2	B	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Dry2	C	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Dry2	D	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Dry6	A	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Dry6	B	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Dry6	C	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Dry6	D	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-27	Dry2	A	0	0	50	0	0	No remarks	No remarks
1997-08-27	Dry2	B	0	0	50	0	0	No remarks	No remarks
1997-08-27	Dry2	C	0	0	50	0	0	No remarks	No remarks
1997-08-27	Dry2	D	0	0	50	0	0	No remarks	No remarks
1998-05-27	Dry1	A	0	0	0	0	0	Snow edge next to plot	No remarks
1998-05-27	Dry1	B	0	0	0	0	0	No remarks	No remarks
1998-05-27	Dry1	C	0	0	0	0	0	No remarks	No remarks
1998-05-27	Dry1	D	0	0	0	0	0	No remarks	No remarks
1998-05-31	Dry8	A	0	0	0	0	0	No remarks	No remarks
1998-05-31	Dry8	B	0	0	0	0	0	No remarks	No remarks
1998-05-31	Dry8	C	0	0	0	0	0	No remarks	No remarks
1998-05-31	Dry8	D	0	0	0	0	0	No remarks	No remarks
1998-06-03	Dry1	A	0	0	0	0	0	10 m to snow edge to the east	No remarks
1998-06-03	Dry1	B	0	0	0	0	0	No remarks	No remarks
1998-06-03	Dry1	C	0	0	0	0	0	No remarks	No remarks
1998-06-03	Dry1	D	0	0	0	0	0	No remarks	No remarks
1998-06-03	Dry5	A	0	0	0	0	0	No remarks	No remarks
1998-06-03	Dry5	B	0	0	0	0	0	No remarks	No remarks
1998-06-03	Dry5	C	0	0	0	0	0	No remarks	No remarks
1998-06-03	Dry5	D	0	0	0	0	0	No remarks	No remarks
1998-06-05	Dry7	A	0	0	0	0	0	No remarks	No remarks
1998-06-05	Dry7	B	0	0	0	0	0	No remarks	No remarks
1998-06-05	Dry7	C	0	0	0	0	0	No remarks	No remarks
1998-06-05	Dry7	D	0	0	0	0	0	No remarks	No remarks
1998-06-05	Dry8	A	0	0	0	0	0	No remarks	No remarks
1998-06-05	Dry8	B	0	0	0	0	0	No remarks	No remarks
1998-06-05	Dry8	C	0	0	0	0	0	No remarks	No remarks
1998-06-05	Dry8	D	0	0	0	0	0	No remarks	No remarks
1998-06-10	Dry1	A	0	0	0	0	0	15 m to snow edge to the east	No remarks
1998-06-10	Dry1	B	1	0	0	0	0	No remarks	No remarks
1998-06-10	Dry1	C	0	0	0	0	0	No remarks	No remarks
1998-06-10	Dry1	D	0	0	0	0	0	No remarks	No remarks
1998-06-10	Dry3	A	0	0	0	0	0	No remarks	No remarks
1998-06-10	Dry3	B	0	0	0	0	0	No remarks	No remarks
1998-06-10	Dry3	C	0	0	0	0	0	No remarks	No remarks
1998-06-10	Dry3	D	0	0	0	0	0	No remarks	No remarks
1998-06-10	Dry5	A	0	0	0	0	0	No remarks	No remarks
1998-06-10	Dry5	B	0	0	0	0	0	No remarks	No remarks
1998-06-10	Dry5	C	0	0	0	0	0	No remarks	No remarks
1998-06-10	Dry5	D	0	0	0	0	0	No remarks	No remarks
1998-06-12	Dry7	A	0	0	0	0	0	No remarks	No remarks
1998-06-12	Dry7	B	0	0	0	0	0	No remarks	No remarks
1998-06-12	Dry7	C	0	0	0	0	0	No remarks	No remarks
1998-06-12	Dry7	D	0	0	0	0	0	No remarks	No remarks
1998-06-12	Dry8	A	0	0	0	0	0	No remarks	No remarks
1998-06-12	Dry8	B	0	0	0	0	0	No remarks	No remarks
1998-06-12	Dry8	C	0	0	0	0	0	No remarks	No remarks
1998-06-12	Dry8	D	0	0	0	0	0	No remarks	No remarks
1998-06-17	Dry1	A	8	0	0	0	0	45 m to snow edge to the east	No remarks
1998-06-17	Dry1	B	4	0	0	0	0	No remarks	No remarks
1998-06-17	Dry1	C	2	0	0	0	0	No remarks	No remarks
1998-06-17	Dry1	D	4	0	0	0	0	No remarks	No remarks
1998-06-17	Dry3	A	0	0	0	0	0	No remarks	No remarks
1998-06-17	Dry3	B	0	0	0	0	0	No remarks	No remarks
1998-06-17	Dry3	C	0	0	0	0	0	No remarks	No remarks
1998-06-17	Dry3	D	0	0	0	0	0	No remarks	No remarks
1998-06-17	Dry4	A	0	0	0	0	0	No remarks	No remarks
1998-06-17	Dry4	B	0	0	0	0	0	No remarks	No remarks
1998-06-17	Dry4	C	0	0	0	0	0	No remarks	No remarks
1998-06-17	Dry4	D	0	0	0	0	0	No remarks	No remarks
1998-06-17	Dry5	A	0	0	0	0	0	No remarks	No remarks
1998-06-17	Dry5	B	0	0	0	0	0	No remarks	No remarks
1998-06-17	Dry5	C	0	0	0	0	0	No remarks	No remarks
1998-06-17	Dry5	D	0	0	0	0	0	No remarks	No remarks
1998-06-21	Dry7	A	0	0	0	0	0	No remarks	No remarks
1998-06-21	Dry7	B	3	0	0	0	0	No remarks	No remarks
1998-06-21	Dry7	C	1	0	0	0	0	No remarks	No remarks
1998-06-21	Dry7	D	1	0	0	0	0	No remarks	No remarks
1998-06-21	Dry8	A	20	2	0	0	0	No remarks	No remarks
1998-06-21	Dry8	B	16	10	0	0	0	No remarks	No remarks
1998-06-21	Dry8	C	0	0	0	0	0	No remarks	No remarks
1998-06-21	Dry8	D	0	0	0	0	0	No remarks	No remarks
1998-06-24	Dry1	A	12	21	0	0	0	80 m to snow edge to the east	No remarks
1998-06-24	Dry1	B	33	11	0	0	0	No remarks	No remarks
1998-06-24	Dry1	C	21	10	0	0	0	No remarks	No remarks
1998-06-24	Dry1	D	25	8	0	0	0	No remarks	No remarks
1998-06-24	Dry3	A	0	0	0	0	0	No remarks	No remarks
1998-06-24	Dry3	B	0	0	0	0	0	No remarks	No remarks
1998-06-24	Dry3	C	0	0	0	0	0	No remarks	No remarks
1998-06-24	Dry3	D	0	0	0	0	0	No remarks	No remarks
1998-06-24	Dry4	A	0	0	0	0	0	No remarks	No remarks
1998-06-24	Dry4	B	0	0	0	0	0	No remarks	No remarks
1998-06-24	Dry4	C	0	0	0	0	0	No remarks	No remarks
1998-06-24	Dry4	D	0	0	0	0	0	No remarks	No remarks
1998-06-24	Dry5	A	6	0	0	0	0	No remarks	No remarks
1998-06-24	Dry5	B	16	0	0	0	0	No remarks	No remarks
1998-06-24	Dry5	C	2	0	0	0	0	No remarks	No remarks
1998-06-24	Dry5	D	0	0	0	0	0	No remarks	No remarks
1998-06-28	Dry7	A	22	0	0	0	0	No remarks	No remarks
1998-06-28	Dry7	B	27	10	0	0	0	No remarks	No remarks
1998-06-28	Dry7	C	17	3	0	0	0	No remarks	No remarks
1998-06-28	Dry7	D	3	6	0	0	0	No remarks	No remarks
1998-06-28	Dry8	A	9	25	0	0	0	No remarks	No remarks
1998-06-28	Dry8	B	3	21	0	0	0	No remarks	No remarks
1998-06-28	Dry8	C	3	0	0	0	0	No remarks	No remarks
1998-06-28	Dry8	D	2	3	0	0	0	No remarks	No remarks
1998-07-01	Dry1	A	0	39	2	0	0	Approximately 100 m to snow edge to the east	No remarks
1998-07-01	Dry1	B	0	23	18	0	0	No remarks	No remarks
1998-07-01	Dry1	C	0	9	32	0	0	No remarks	No remarks
1998-07-01	Dry1	D	0	6	25	0	0	No remarks	No remarks
1998-07-01	Dry3	A	7	0	0	0	0	No remarks	No remarks
1998-07-01	Dry3	B	3	0	0	0	0	No remarks	No remarks
1998-07-01	Dry3	C	4	0	0	0	0	No remarks	No remarks
1998-07-01	Dry3	D	12	0	0	0	0	No remarks	No remarks
1998-07-01	Dry4	A	0	0	0	0	0	No remarks	No remarks
1998-07-01	Dry4	B	1	0	0	0	0	No remarks	No remarks
1998-07-01	Dry4	C	0	0	0	0	0	No remarks	No remarks
1998-07-01	Dry4	D	3	0	0	0	0	No remarks	No remarks
1998-07-01	Dry5	A	7	5	0	0	0	No remarks	No remarks
1998-07-01	Dry5	B	16	20	0	0	0	No remarks	No remarks
1998-07-01	Dry5	C	2	1	0	0	0	No remarks	No remarks
1998-07-01	Dry5	D	9	4	0	0	0	No remarks	No remarks
1998-07-03	Dry7	A	19	38	0	0	0	2 active lemming burrows	No remarks
1998-07-03	Dry7	B	0	50	0	0	0	2 active lemming burrows	No remarks
1998-07-03	Dry7	C	3	31	0	0	0	2 active lemming burrows	No remarks
1998-07-03	Dry7	D	9	16	0	0	0	2 active lemming burrows	No remarks
1998-07-03	Dry8	A	6	41	0	0	0	No remarks	No remarks
1998-07-03	Dry8	B	7	31	0	0	0	No remarks	No remarks
1998-07-03	Dry8	C	1	9	0	0	0	No remarks	No remarks
1998-07-03	Dry8	D	4	19	0	0	0	No remarks	No remarks
1998-07-08	Dry1	A	0	8	30	0	0	No remarks	No remarks
1998-07-08	Dry1	B	0	27	24	0	2	No remarks	No remarks
1998-07-08	Dry1	C	0	17	33	0	1	No remarks	No remarks
1998-07-08	Dry1	D	0	26	25	0	0	No remarks	No remarks
1998-07-08	Dry2	A	0	0	0	0	0	No remarks	No remarks
1998-07-08	Dry2	B	0	0	0	0	0	No remarks	No remarks
1998-07-08	Dry2	C	0	0	0	0	0	No remarks	No remarks
1998-07-08	Dry2	D	0	0	0	0	0	No remarks	No remarks
1998-07-08	Dry3	A	6	13	0	0	0	No remarks	No remarks
1998-07-08	Dry3	B	5	19	0	0	0	No remarks	No remarks
1998-07-08	Dry3	C	8	23	0	0	1	No remarks	No remarks
1998-07-08	Dry3	D	11	5	0	0	2	No remarks	No remarks
1998-07-08	Dry4	A	3	4	0	0	1	No remarks	No remarks
1998-07-08	Dry4	B	4	1	0	0	0	No remarks	No remarks
1998-07-08	Dry4	C	2	0	0	0	0	No remarks	No remarks
1998-07-08	Dry4	D	5	6	0	0	0	No remarks	No remarks
1998-07-08	Dry5	A	0	37	0	0	0	No remarks	No remarks
1998-07-08	Dry5	B	0	32	2	0	0	No remarks	No remarks
1998-07-08	Dry5	C	0	16	0	0	0	No remarks	No remarks
1998-07-08	Dry5	D	0	22	0	0	1	No remarks	No remarks
1998-07-08	Dry6	A	0	0	0	0	0	No remarks	No remarks
1998-07-08	Dry6	B	0	0	0	0	0	No remarks	No remarks
1998-07-08	Dry6	C	0	0	0	0	0	No remarks	No remarks
1998-07-08	Dry6	D	0	0	0	0	0	No remarks	No remarks
1998-07-15	Dry1	A	0	0	32	0	0	No remarks	No remarks
1998-07-15	Dry1	B	0	0	50	0	0	No remarks	No remarks
1998-07-15	Dry1	C	0	0	50	0	0	No remarks	No remarks
1998-07-15	Dry1	D	0	0	50	0	0	No remarks	No remarks
1998-07-15	Dry2	A	0	0	0	0	0	No remarks	No remarks
1998-07-15	Dry2	B	0	0	0	0	0	No remarks	No remarks
1998-07-15	Dry2	C	0	0	0	0	0	No remarks	No remarks
1998-07-15	Dry2	D	0	0	0	0	0	No remarks	No remarks
1998-07-15	Dry6	A	0	0	0	0	0	No remarks	No remarks
