Date	Plot	Section	Buds	Flowers	Senescent	Open	Field_remarks	General_remarks
1997-07-29	Sax3	B	0	0	34	0	No remarks	No remarks
1997-07-29	Sax3	C	0	0	33	0	No remarks	No remarks
1997-07-29	Sax3	D	0	0	46	0	No remarks	No remarks
1997-08-05	Sax1	A	3	7	21	2	No remarks	No remarks
1997-08-05	Sax1	B	0	0	12	4	No remarks	No remarks
1997-08-05	Sax1	C	0	0	14	0	No remarks	No remarks
1997-08-05	Sax1	D	0	0	13	0	No remarks	No remarks
1997-08-05	Sax2	A	0	0	26	0	No remarks	No remarks
1997-08-05	Sax2	B	0	0	39	0	No remarks	No remarks
1997-08-05	Sax2	C	0	0	59	0	No remarks	No remarks
1997-08-05	Sax2	D	0	0	48	1	No remarks	No remarks
1997-08-05	Sax3	A	0	0	50	5	No remarks	No remarks
1997-08-05	Sax3	B	0	0	25	0	No remarks	No remarks
1997-08-05	Sax3	C	0	0	25	0	No remarks	No remarks
1997-08-05	Sax3	D	0	0	34	4	No remarks	No remarks
1997-08-12	Sax1	A	1	15	7	11	No remarks	No remarks
1997-08-12	Sax1	B	0	0	3	10	No remarks	No remarks
1997-08-12	Sax1	C	0	0	4	12	No remarks	No remarks
1997-08-12	Sax1	D	0	0	7	3	No remarks	No remarks
1997-08-12	Sax2	A	0	0	22	4	No remarks	No remarks
1997-08-12	Sax2	B	0	0	25	4	No remarks	No remarks
1997-08-12	Sax2	C	0	0	50	10	No remarks	No remarks
1997-08-12	Sax2	D	0	0	35	13	No remarks	No remarks
1997-08-12	Sax3	A	0	0	16	39	No remarks	No remarks
1997-08-12	Sax3	B	0	0	3	8	No remarks	No remarks
1997-08-12	Sax3	C	0	2	3	17	No remarks	No remarks
1997-08-12	Sax3	D	0	0	1	25	No remarks	No remarks
1998-05-27	Sax1	A	0	0	0	0	No remarks	No remarks
1998-05-27	Sax1	B	0	0	0	0	No remarks	No remarks
1998-05-27	Sax1	C	0	0	0	0	No remarks	No remarks
1998-05-27	Sax1	D	0	0	0	0	No remarks	No remarks
1998-05-27	Sax2	A	0	0	0	0	No remarks	No remarks
1998-05-27	Sax2	B	0	0	0	0	No remarks	No remarks
1998-05-27	Sax2	C	0	0	0	0	No remarks	No remarks
1998-05-27	Sax2	D	0	0	0	0	No remarks	No remarks
1998-06-03	Sax1	A	34	16	0	0	No remarks	No remarks
1998-06-03	Sax1	B	40	10	0	0	No remarks	No remarks
1998-06-03	Sax1	C	2	5	0	0	No remarks	No remarks
1998-06-03	Sax1	D	12	5	0	0	No remarks	No remarks
1998-06-03	Sax2	A	21	0	0	0	No remarks	No remarks
1998-06-03	Sax2	B	11	0	0	0	No remarks	No remarks
1998-06-03	Sax2	C	50	0	0	0	No remarks	No remarks
1998-06-03	Sax2	D	50	0	0	0	No remarks	No remarks
1998-06-03	Sax3	A	21	0	0	0	No remarks	No remarks
1998-06-03	Sax3	B	9	0	0	0	No remarks	No remarks
1998-06-03	Sax3	C	18	0	0	0	No remarks	No remarks
1998-06-03	Sax3	D	20	0	0	0	No remarks	No remarks
1998-06-10	Sax1	A	0	50	0	0	No remarks	No remarks
1998-06-10	Sax1	B	2	48	0	0	No remarks	No remarks
1998-06-10	Sax1	C	0	7	0	0	No remarks	No remarks
1998-06-10	Sax1	D	6	12	0	0	No remarks	No remarks
1998-06-10	Sax2	A	0	50	0	0	No remarks	No remarks
1998-06-10	Sax2	B	0	29	0	0	No remarks	No remarks
1998-06-10	Sax2	C	0	50	0	0	No remarks	No remarks
1998-06-10	Sax2	D	0	50	0	0	No remarks	No remarks
1998-06-10	Sax3	A	4	46	0	0	No remarks	No remarks
1998-06-10	Sax3	B	8	1	0	0	No remarks	No remarks
1998-06-10	Sax3	C	15	6	0	0	No remarks	No remarks
1998-06-10	Sax3	D	11	15	0	0	No remarks	No remarks
1998-06-17	Sax1	A	13	32	36	0	No remarks	No remarks
1998-06-17	Sax1	B	0	25	32	0	No remarks	No remarks
1998-06-17	Sax1	C	0	3	5	0	No remarks	No remarks
1998-06-17	Sax1	D	0	5	12	0	No remarks	No remarks
1998-06-17	Sax2	A	0	75	0	0	No remarks	No remarks
1998-06-17	Sax2	B	3	25	0	0	No remarks	No remarks
1998-06-17	Sax2	C	9	144	0	0	No remarks	No remarks
1998-06-17	Sax2	D	0	171	5	0	No remarks	No remarks
1998-06-17	Sax3	A	0	43	8	0	No remarks	No remarks
1998-06-17	Sax3	B	0	50	0	0	No remarks	No remarks
1998-06-17	Sax3	C	0	27	13	0	No remarks	No remarks
1998-06-17	Sax3	D	0	15	18	0	No remarks	No remarks
1998-06-24	Sax1	A	5	26	22	0	No remarks	No remarks
1998-06-24	Sax1	B	0	25	27	0	No remarks	No remarks
1998-06-24	Sax1	C	0	2	5	0	No remarks	No remarks
1998-06-24	Sax1	D	0	3	17	0	No remarks	No remarks
1998-06-24	Sax2	A	0	42	8	0	No remarks	No remarks
1998-06-24	Sax2	B	0	28	5	0	No remarks	No remarks
1998-06-24	Sax2	C	0	39	9	0	No remarks	No remarks
1998-06-24	Sax2	D	0	41	9	0	No remarks	No remarks
1998-06-24	Sax3	A	0	0	50	0	No remarks	No remarks
1998-06-24	Sax3	B	0	32	19	0	No remarks	No remarks
1998-06-24	Sax3	C	0	0	41	0	No remarks	No remarks
1998-06-24	Sax3	D	0	3	30	0	No remarks	No remarks
1998-07-01	Sax1	A	0	0	50	0	No remarks	No remarks
1998-07-01	Sax1	B	0	0	50	0	No remarks	No remarks
1998-07-01	Sax1	C	0	0	7	0	No remarks	No remarks
1998-07-01	Sax1	D	0	0	20	0	No remarks	No remarks
1998-07-01	Sax2	A	0	45	5	0	No remarks	No remarks
1998-07-01	Sax2	B	0	29	1	0	No remarks	No remarks
1998-07-01	Sax2	C	0	1	49	0	No remarks	No remarks
1998-07-01	Sax2	D	0	0	50	0	No remarks	No remarks
1998-07-01	Sax3	A	0	0	50	0	No remarks	No remarks
1998-07-01	Sax3	B	0	0	50	0	No remarks	No remarks
1998-07-01	Sax3	C	0	0	41	0	No remarks	No remarks
1998-07-01	Sax3	D	0	0	33	0	No remarks	No remarks
1998-07-08	Sax1	A	0	0	50	0	No remarks	No remarks
1998-07-08	Sax1	B	0	0	50	0	No remarks	No remarks
1998-07-08	Sax1	C	0	0	8	0	No remarks	No remarks
1998-07-08	Sax1	D	0	0	20	0	No remarks	No remarks
1998-07-08	Sax2	A	0	12	38	0	No remarks	No remarks
1998-07-08	Sax2	B	0	13	17	0	No remarks	No remarks
1998-07-08	Sax2	C	0	0	50	0	No remarks	No remarks
1998-07-08	Sax2	D	0	0	50	0	No remarks	No remarks
1998-07-08	Sax3	A	0	0	50	0	No remarks	No remarks
1998-07-08	Sax3	B	0	0	50	0	No remarks	No remarks
1998-07-08	Sax3	C	0	0	41	0	No remarks	No remarks
1998-07-08	Sax3	D	0	0	33	0	No remarks	No remarks
1998-07-15	Sax1	A	0	0	50	0	No remarks	No remarks
1998-07-15	Sax1	B	0	0	50	0	No remarks	No remarks
1998-07-15	Sax1	C	0	0	8	0	No remarks	No remarks
1998-07-15	Sax1	D	0	0	20	0	No remarks	No remarks
1998-07-15	Sax2	A	0	0	50	0	No remarks	No remarks
1998-07-15	Sax2	B	0	0	30	0	No remarks	No remarks
1998-07-15	Sax2	C	0	0	50	0	No remarks	No remarks
1998-07-15	Sax2	D	0	0	50	0	No remarks	No remarks
1998-07-15	Sax3	A	0	0	50	0	No remarks	No remarks
1998-07-15	Sax3	B	0	0	50	0	No remarks	No remarks
1998-07-15	Sax3	C	0	0	40	0	No remarks	No remarks
1998-07-15	Sax3	D	0	0	33	0	No remarks	No remarks
1998-07-22	Sax1	A	0	0	50	0	No remarks	No remarks
1998-07-22	Sax1	B	0	0	50	0	No remarks	No remarks
1998-07-22	Sax1	C	0	0	8	0	No remarks	No remarks
1998-07-22	Sax1	D	0	0	20	0	No remarks	No remarks
1998-07-22	Sax2	A	0	0	50	0	No remarks	No remarks
1998-07-22	Sax2	B	0	0	30	0	No remarks	No remarks
1998-07-22	Sax2	C	0	0	50	0	No remarks	No remarks
1998-07-22	Sax2	D	0	0	50	0	No remarks	No remarks
1998-07-22	Sax3	A	0	0	50	0	No remarks	No remarks
1998-07-22	Sax3	B	0	0	50	0	No remarks	No remarks
1998-07-22	Sax3	C	0	0	40	0	No remarks	No remarks
1998-07-22	Sax3	D	0	0	35	0	No remarks	No remarks
1998-07-29	Sax1	A	0	0	50	0	No remarks	No remarks
1998-07-29	Sax1	B	0	0	50	0	No remarks	No remarks
1998-07-29	Sax1	C	0	0	8	0	No remarks	No remarks
1998-07-29	Sax1	D	0	0	20	0	No remarks	No remarks
1998-07-29	Sax2	A	0	0	50	0	No remarks	No remarks
1998-07-29	Sax2	B	0	0	30	0	No remarks	No remarks
1998-07-29	Sax2	C	0	0	50	0	No remarks	No remarks
1998-07-29	Sax2	D	0	0	50	0	No remarks	No remarks
1998-07-29	Sax3	A	0	0	50	0	No remarks	No remarks
1998-07-29	Sax3	B	0	0	50	0	No remarks	No remarks
1998-07-29	Sax3	C	0	0	40	0	No remarks	No remarks
1998-07-29	Sax3	D	0	0	35	0	No remarks	No remarks
1998-08-05	Sax1	A	0	0	42	8	No remarks	No remarks
1998-08-05	Sax1	B	0	0	44	6	No remarks	No remarks
1998-08-05	Sax1	C	0	0	4	11	No remarks	No remarks
1998-08-05	Sax1	D	0	0	18	2	No remarks	No remarks
1998-08-05	Sax2	A	0	0	49	1	No remarks	No remarks
1998-08-05	Sax2	B	0	0	26	4	No remarks	No remarks
1998-08-05	Sax2	C	0	0	50	0	No remarks	No remarks
1998-08-05	Sax2	D	0	0	46	4	No remarks	No remarks
1998-08-05	Sax3	A	0	0	50	0	No remarks	No remarks
1998-08-05	Sax3	B	0	0	50	0	No remarks	No remarks
1998-08-05	Sax3	C	0	0	40	0	No remarks	No remarks
1998-08-05	Sax3	D	0	0	35	0	No remarks	No remarks
1998-08-12	Sax1	A	0	0	31	19	No remarks	No remarks
1998-08-12	Sax1	B	0	0	28	22	No remarks	No remarks
1998-08-12	Sax1	C	0	0	5	10	No remarks	No remarks
1998-08-12	Sax1	D	0	0	17	6	No remarks	No remarks
1998-08-12	Sax2	A	0	0	48	2	No remarks	No remarks
1998-08-12	Sax2	B	0	0	26	4	No remarks	No remarks
1998-08-12	Sax2	C	0	0	50	0	No remarks	No remarks
1998-08-12	Sax2	D	0	0	49	1	No remarks	No remarks
1998-08-12	Sax3	A	0	0	50	2	No remarks	No remarks
1998-08-12	Sax3	B	0	0	50	3	No remarks	No remarks
1998-08-12	Sax3	C	0	0	40	0	No remarks	No remarks
1998-08-12	Sax3	D	0	0	35	0	No remarks	No remarks
1998-08-19	Sax1	A	0	5	15	8	No remarks	No remarks
1998-08-19	Sax1	B	5	1	34	8	No remarks	No remarks
1998-08-19	Sax1	C	0	0	6	1	No remarks	No remarks
1998-08-19	Sax1	D	5	3	12	4	No remarks	No remarks
1998-08-19	Sax2	A	0	0	40	0	No remarks	No remarks
1998-08-19	Sax2	B	0	0	19	5	No remarks	No remarks
1998-08-19	Sax2	C	0	1	78	0	No remarks	No remarks
1998-08-19	Sax2	D	0	0	80	0	No remarks	No remarks
1998-08-19	Sax3	A	0	0	113	14	No remarks	No remarks
1998-08-19	Sax3	B	0	0	32	3	No remarks	No remarks
1998-08-19	Sax3	C	0	2	26	3	No remarks	No remarks
1998-08-19	Sax3	D	0	0	22	0	No remarks	No remarks
1998-08-26	Sax1	A	0	6	2	78	No remarks	No remarks
1998-08-26	Sax1	B	0	6	1	61	No remarks	No remarks
1998-08-26	Sax1	C	0	0	0	7	No remarks	No remarks
1998-08-26	Sax1	D	0	12	4	55	No remarks	No remarks
1998-08-26	Sax2	A	0	0	14	10	No remarks	No remarks
1998-08-26	Sax2	B	0	0	2	29	No remarks	No remarks
1998-08-26	Sax2	C	0	0	11	64	No remarks	No remarks
1998-08-26	Sax2	D	0	1	40	42	No remarks	No remarks
1998-08-26	Sax3	A	0	0	15	113	No remarks	No remarks
1998-08-26	Sax3	B	0	2	17	5	No remarks	No remarks
1998-08-26	Sax3	C	0	3	3	36	No remarks	No remarks
1998-08-26	Sax3	D	0	0	2	29	No remarks	No remarks
1999-06-01	Sax1	A	7	0	0	0	7 almost open flowers	No remarks
1999-06-01	Sax1	B	12	0	0	0	No remarks	No remarks
1999-06-01	Sax1	C	50	0	0	0	No remarks	No remarks
1999-06-01	Sax1	D	30	0	0	0	No remarks	No remarks
1999-06-01	Sax2	A	0	0	0	0	No remarks	No remarks
1999-06-01	Sax2	B	0	0	0	0	No remarks	No remarks
1999-06-01	Sax2	C	0	0	0	0	No remarks	No remarks
1999-06-01	Sax2	D	0	0	0	0	No remarks	No remarks
1999-06-01	Sax3	A	0	0	0	0	No remarks	No remarks
1999-06-01	Sax3	B	0	0	0	0	No remarks	No remarks
1999-06-01	Sax3	C	0	0	0	0	No remarks	No remarks
1999-06-01	Sax3	D	0	0	0	0	No remarks	No remarks
1999-06-03	Sax1	A	40	0	0	0	7 almost open flowers	No remarks
1999-06-03	Sax1	B	50	0	0	0	No remarks	No remarks
1999-06-03	Sax1	C	50	0	0	0	No remarks	No remarks
1999-06-03	Sax1	D	29	5	0	0	No remarks	No remarks
1999-06-03	Sax2	A	0	0	0	0	No remarks	No remarks
1999-06-03	Sax2	B	0	0	0	0	No remarks	No remarks
1999-06-03	Sax2	C	0	0	0	0	No remarks	No remarks
1999-06-03	Sax2	D	0	0	0	0	No remarks	No remarks
1999-06-03	Sax3	A	0	0	0	0	No remarks	No remarks
1999-06-03	Sax3	B	0	0	0	0	No remarks	No remarks
1999-06-03	Sax3	C	0	0	0	0	No remarks	No remarks
1999-06-03	Sax3	D	0	0	0	0	No remarks	No remarks
1999-06-10	Sax1	A	2	48	0	0	No remarks	Dataloggersensor buried 10:30
1999-06-10	Sax1	B	4	46	0	0	No remarks	Dataloggersensor buried 10:30
1999-06-10	Sax1	C	0	50	0	0	No remarks	Dataloggersensor buried 10:30
1999-06-10	Sax1	D	0	50	0	0	No remarks	Dataloggersensor buried 10:30
1999-06-10	Sax2	A	2	0	0	0	No remarks	Dataloggersensor buried 11:00
1999-06-10	Sax2	B	0	1	0	0	No remarks	Dataloggersensor buried 11:00
1999-06-10	Sax2	C	12	0	0	0	No remarks	Dataloggersensor buried 11:00
1999-06-10	Sax2	D	50	0	0	0	No remarks	Dataloggersensor buried 11:00
1999-06-10	Sax3	A	50	0	0	0	No remarks	Dataloggersensor already buried
1999-06-10	Sax3	B	50	0	0	0	No remarks	Dataloggersensor already buried
1999-06-10	Sax3	C	46	1	0	0	No remarks	Dataloggersensor already buried
1999-06-10	Sax3	D	50	0	0	0	No remarks	Dataloggersensor already buried
1999-06-17	Sax1	A	6	37	11	0	No remarks	No remarks
1999-06-17	Sax1	B	0	39	11	0	No remarks	No remarks
1999-06-17	Sax1	C	0	35	15	0	No remarks	No remarks
1999-06-17	Sax1	D	0	26	24	0	No remarks	No remarks
1999-06-17	Sax2	A	2	10	0	0	No remarks	No remarks
1999-06-17	Sax2	B	6	14	0	0	No remarks	No remarks
1999-06-17	Sax2	C	1	20	0	0	No remarks	No remarks
1999-06-17	Sax2	D	0	50	0	0	No remarks	No remarks
1999-06-17	Sax3	A	24	26	0	0	No remarks	No remarks
1999-06-17	Sax3	B	25	25	0	0	No remarks	No remarks
1999-06-17	Sax3	C	21	29	0	0	No remarks	No remarks
1999-06-17	Sax3	D	0	50	0	0	No remarks	No remarks
1999-06-24	Sax1	A	0	6	44	0	No remarks	No remarks
1999-06-24	Sax1	B	0	0	50	0	No remarks	No remarks
1999-06-24	Sax1	C	0	3	47	0	No remarks	No remarks
1999-06-24	Sax1	D	0	0	50	0	No remarks	No remarks
1999-06-24	Sax2	A	0	15	4	0	No remarks	No remarks
1999-06-24	Sax2	B	0	16	1	0	No remarks	No remarks
1999-06-24	Sax2	C	0	14	13	0	No remarks	No remarks
1999-06-24	Sax2	D	0	44	6	0	No remarks	No remarks
1999-06-24	Sax3	A	0	50	0	0	No remarks	No remarks
1999-06-24	Sax3	B	0	50	0	0	No remarks	No remarks
1999-06-24	Sax3	C	0	50	0	0	No remarks	No remarks
1999-06-24	Sax3	D	0	50	0	0	No remarks	No remarks
1999-07-01	Sax1	A	0	0	50	0	No remarks	No remarks
1999-07-01	Sax1	B	0	0	50	0	No remarks	No remarks
1999-07-01	Sax1	C	0	0	50	0	No remarks	No remarks
1999-07-01	Sax1	D	0	0	50	0	No remarks	No remarks
1999-07-01	Sax2	A	0	0	3	0	No remarks	No remarks
1999-07-01	Sax2	B	0	0	13	0	No remarks	No remarks
1999-07-01	Sax2	C	0	0	18	0	No remarks	No remarks
1999-07-01	Sax2	D	0	0	49	0	No remarks	No remarks
1999-07-01	Sax3	A	0	3	47	0	No remarks	No remarks
1999-07-01	Sax3	B	0	20	30	0	No remarks	No remarks
1999-07-01	Sax3	C	0	7	43	0	No remarks	No remarks
1999-07-01	Sax3	D	0	0	50	0	No remarks	No remarks
1999-07-08	Sax1	A	0	0	55	0	No remarks	No remarks
1999-07-08	Sax1	B	0	0	69	0	No remarks	No remarks
1999-07-08	Sax1	C	0	0	50	0	No remarks	No remarks
1999-07-08	Sax1	D	0	0	50	0	No remarks	No remarks
1999-07-08	Sax2	A	0	0	5	0	No remarks	No remarks
1999-07-08	Sax2	B	0	0	13	0	No remarks	No remarks
1999-07-08	Sax2	C	0	0	18	0	No remarks	No remarks
1999-07-08	Sax2	D	0	0	50	0	No remarks	No remarks
1999-07-08	Sax3	A	0	0	50	0	No remarks	No remarks
1999-07-08	Sax3	B	0	0	50	0	No remarks	No remarks
