Date	Plot	Section	Buds	Male_flowers	Female_flowers	Seed_hairs	Field_remarks	General_remarks
1997-06-24	Sal3	C	28	4	6	0	No remarks	No remarks
1997-06-24	Sal3	D	26	4	0	0	No remarks	No remarks
1997-06-24	Sal4	A	1	31	8	0	No remarks	No remarks
1997-06-24	Sal4	B	38	0	11	0	No remarks	No remarks
1997-06-24	Sal4	C	18	1	0	0	No remarks	No remarks
1997-06-24	Sal4	D	11	8	27	0	No remarks	No remarks
1997-07-01	Sal1	A	0	50	50	0	No remarks	No remarks
1997-07-01	Sal1	B	0	50	50	0	No remarks	No remarks
1997-07-01	Sal1	C	0	50	50	0	No remarks	No remarks
1997-07-01	Sal1	D	0	50	50	0	No remarks	No remarks
1997-07-01	Sal2	A	11	7	27	0	No remarks	No remarks
1997-07-01	Sal2	B	10	33	9	0	No remarks	No remarks
1997-07-01	Sal2	C	10	5	25	0	No remarks	No remarks
1997-07-01	Sal2	D	14	20	34	0	No remarks	No remarks
1997-07-01	Sal3	A	1	2	25	0	No remarks	No remarks
1997-07-01	Sal3	B	0	22	24	0	No remarks	No remarks
1997-07-01	Sal3	C	0	25	49	0	No remarks	No remarks
1997-07-01	Sal3	D	1	53	27	0	No remarks	No remarks
1997-07-01	Sal4	A	0	28	20	0	No remarks	No remarks
1997-07-01	Sal4	B	0	49	11	0	No remarks	No remarks
1997-07-01	Sal4	C	0	56	16	0	No remarks	No remarks
1997-07-01	Sal4	D	0	18	18	0	No remarks	No remarks
1997-07-08	Sal1	A	0	50	50	0	No remarks	No remarks
1997-07-08	Sal1	B	0	50	50	0	No remarks	No remarks
1997-07-08	Sal1	C	0	50	50	0	No remarks	No remarks
1997-07-08	Sal1	D	0	50	50	0	No remarks	No remarks
1997-07-08	Sal2	A	0	12	50	0	No remarks	No remarks
1997-07-08	Sal2	B	3	21	39	0	No remarks	No remarks
1997-07-08	Sal2	C	2	20	25	0	No remarks	No remarks
1997-07-08	Sal2	D	4	31	34	0	No remarks	No remarks
1997-07-08	Sal3	A	0	2	51	0	No remarks	No remarks
1997-07-08	Sal3	B	0	16	30	0	No remarks	No remarks
1997-07-08	Sal3	C	0	47	10	0	No remarks	No remarks
1997-07-08	Sal3	D	0	50	15	0	No remarks	No remarks
1997-07-08	Sal4	A	0	50	50	0	No remarks	No remarks
1997-07-08	Sal4	B	0	50	50	0	No remarks	No remarks
1997-07-08	Sal4	C	0	50	50	0	No remarks	No remarks
1997-07-08	Sal4	D	0	50	50	0	No remarks	No remarks
1997-07-15	Sal1	A	0	-9999	50	0	No remarks	No remarks
1997-07-15	Sal1	B	0	-9999	50	0	No remarks	No remarks
1997-07-15	Sal1	C	0	-9999	50	0	No remarks	No remarks
1997-07-15	Sal1	D	0	-9999	50	0	No remarks	No remarks
1997-07-15	Sal2	A	0	26	20	0	No remarks	No remarks
1997-07-15	Sal2	B	5	53	27	0	No remarks	No remarks
1997-07-15	Sal2	C	1	31	21	0	No remarks	No remarks
1997-07-15	Sal2	D	0	43	21	0	No remarks	No remarks
1997-07-15	Sal3	A	0	-9999	40	0	No remarks	No remarks
1997-07-15	Sal3	B	0	-9999	27	0	No remarks	No remarks
1997-07-15	Sal3	C	0	-9999	19	0	No remarks	No remarks
1997-07-15	Sal3	D	0	-9999	19	0	No remarks	No remarks
1997-07-15	Sal4	A	0	-9999	50	0	No remarks	No remarks
1997-07-15	Sal4	B	0	-9999	50	0	No remarks	No remarks
1997-07-15	Sal4	C	0	-9999	50	0	No remarks	No remarks
1997-07-15	Sal4	D	0	-9999	50	0	No remarks	No remarks
1997-07-22	Sal1	A	0	-9999	50	0	No remarks	No remarks
1997-07-22	Sal1	B	0	-9999	50	0	No remarks	No remarks
1997-07-22	Sal1	C	0	-9999	50	0	No remarks	No remarks
1997-07-22	Sal1	D	0	-9999	50	1	No remarks	No remarks
1997-07-22	Sal2	A	0	24	47	0	No remarks	No remarks
1997-07-22	Sal2	B	0	28	25	0	No remarks	No remarks
1997-07-22	Sal2	C	0	17	45	0	No remarks	No remarks
1997-07-22	Sal2	D	0	10	53	0	No remarks	No remarks
1997-07-22	Sal3	A	0	-9999	50	0	No remarks	No remarks
1997-07-22	Sal3	B	0	-9999	39	0	No remarks	No remarks
1997-07-22	Sal3	C	0	-9999	40	0	No remarks	No remarks
1997-07-22	Sal3	D	0	-9999	32	0	No remarks	No remarks
1997-07-22	Sal4	A	0	-9999	50	1	No remarks	No remarks
1997-07-22	Sal4	B	0	-9999	50	0	No remarks	No remarks
1997-07-22	Sal4	C	0	-9999	34	0	No remarks	No remarks
1997-07-22	Sal4	D	0	-9999	50	0	No remarks	No remarks
1997-07-29	Sal1	A	0	-9999	45	11	No remarks	No remarks
1997-07-29	Sal1	B	0	-9999	44	6	No remarks	No remarks
1997-07-29	Sal1	C	0	-9999	45	5	No remarks	No remarks
1997-07-29	Sal1	D	0	-9999	49	11	No remarks	No remarks
1997-07-29	Sal2	A	0	-9999	50	0	No remarks	No remarks
1997-07-29	Sal2	B	0	-9999	50	0	No remarks	No remarks
1997-07-29	Sal2	C	0	-9999	50	0	No remarks	No remarks
1997-07-29	Sal2	D	0	-9999	50	0	No remarks	No remarks
1997-07-29	Sal3	A	0	-9999	50	0	No remarks	No remarks
1997-07-29	Sal3	B	0	-9999	49	0	No remarks	No remarks
1997-07-29	Sal3	C	0	-9999	43	0	No remarks	No remarks
1997-07-29	Sal3	D	0	-9999	29	0	No remarks	No remarks
1997-07-29	Sal4	A	0	-9999	50	0	No remarks	No remarks
1997-07-29	Sal4	B	0	-9999	50	0	No remarks	No remarks
1997-07-29	Sal4	C	0	-9999	51	0	No remarks	No remarks
1997-07-29	Sal4	D	0	-9999	50	1	No remarks	No remarks
1997-08-05	Sal1	A	0	-9999	44	9	No remarks	No remarks
1997-08-05	Sal1	B	0	-9999	49	12	No remarks	No remarks
1997-08-05	Sal1	C	0	-9999	50	7	No remarks	No remarks
1997-08-05	Sal1	D	0	-9999	46	10	No remarks	No remarks
1997-08-05	Sal2	A	0	-9999	50	0	No remarks	No remarks
1997-08-05	Sal2	B	0	-9999	50	0	No remarks	No remarks
1997-08-05	Sal2	C	0	-9999	50	0	No remarks	No remarks
1997-08-05	Sal2	D	0	-9999	50	0	No remarks	No remarks
1997-08-05	Sal3	A	0	-9999	45	0	No remarks	No remarks
1997-08-05	Sal3	B	0	-9999	35	0	No remarks	No remarks
1997-08-05	Sal3	C	0	-9999	50	0	No remarks	No remarks
1997-08-05	Sal3	D	0	-9999	22	0	No remarks	No remarks
1997-08-05	Sal4	A	0	-9999	50	2	No remarks	No remarks
1997-08-05	Sal4	B	0	-9999	50	0	No remarks	No remarks
1997-08-05	Sal4	C	0	-9999	36	0	No remarks	No remarks
1997-08-05	Sal4	D	0	-9999	49	4	No remarks	No remarks
1997-08-12	Sal1	A	0	-9999	6	47	No remarks	No remarks
1997-08-12	Sal1	B	0	-9999	4	58	No remarks	No remarks
1997-08-12	Sal1	C	0	-9999	5	47	No remarks	No remarks
1997-08-12	Sal1	D	0	-9999	7	50	No remarks	No remarks
1997-08-12	Sal2	A	0	-9999	50	0	No remarks	No remarks
1997-08-12	Sal2	B	0	-9999	50	0	No remarks	No remarks
1997-08-12	Sal2	C	0	-9999	50	0	No remarks	No remarks
1997-08-12	Sal2	D	0	-9999	50	0	No remarks	No remarks
1997-08-12	Sal3	A	0	-9999	50	4	No remarks	No remarks
1997-08-12	Sal3	B	0	-9999	40	2	No remarks	No remarks
1997-08-12	Sal3	C	0	-9999	24	11	No remarks	No remarks
1997-08-12	Sal3	D	0	-9999	22	1	No remarks	No remarks
1997-08-12	Sal4	A	0	-9999	41	28	No remarks	No remarks
1997-08-12	Sal4	B	0	-9999	51	8	No remarks	No remarks
1997-08-12	Sal4	C	0	-9999	27	8	No remarks	No remarks
1997-08-12	Sal4	D	0	-9999	41	21	No remarks	No remarks
1997-08-26	Sal4	A	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-26	Sal4	B	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-26	Sal4	C	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-26	Sal4	D	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-27	Sal2	A	0	-9999	0	50	No remarks	No remarks
1997-08-27	Sal2	B	0	-9999	0	50	No remarks	No remarks
1997-08-27	Sal2	C	0	-9999	0	50	No remarks	No remarks
1997-08-27	Sal2	D	0	-9999	0	50	No remarks	No remarks
1997-08-27	Sal3	A	0	-9999	0	50	No remarks	No remarks
1997-08-27	Sal3	B	0	-9999	0	50	No remarks	No remarks
1997-08-27	Sal3	C	0	-9999	0	50	No remarks	No remarks
1997-08-27	Sal3	D	0	-9999	0	50	No remarks	No remarks
1998-06-03	Sal1	A	12	0	0	0	No remarks	No remarks
1998-06-03	Sal1	B	21	0	0	0	No remarks	No remarks
1998-06-03	Sal1	C	9	0	0	0	No remarks	No remarks
1998-06-03	Sal1	D	4	0	0	0	No remarks	No remarks
1998-06-10	Sal1	A	44	4	2	0	No remarks	No remarks
1998-06-10	Sal1	B	34	10	6	0	No remarks	No remarks
1998-06-10	Sal1	C	12	22	18	0	No remarks	No remarks
1998-06-10	Sal1	D	38	2	10	0	No remarks	No remarks
1998-06-17	Sal1	A	0	21	29	0	No remarks	No remarks
1998-06-17	Sal1	B	0	8	42	0	No remarks	No remarks
1998-06-17	Sal1	C	0	3	32	0	No remarks	No remarks
1998-06-17	Sal1	D	1	11	28	0	No remarks	No remarks
1998-06-17	Sal3	A	0	0	0	0	No remarks	No remarks
1998-06-17	Sal3	B	0	0	0	0	No remarks	No remarks
1998-06-17	Sal3	C	0	0	0	0	No remarks	No remarks
1998-06-17	Sal3	D	0	0	0	0	No remarks	No remarks
1998-06-17	Sal4	A	0	0	0	0	No remarks	No remarks
1998-06-17	Sal4	B	0	0	0	0	No remarks	No remarks
1998-06-17	Sal4	C	0	0	0	0	No remarks	No remarks
1998-06-17	Sal4	D	0	0	0	0	No remarks	No remarks
1998-06-24	Sal1	A	3	8	42	0	No remarks	No remarks
1998-06-24	Sal1	B	6	12	38	0	No remarks	No remarks
1998-06-24	Sal1	C	11	5	32	0	No remarks	No remarks
1998-06-24	Sal1	D	9	8	32	0	No remarks	No remarks
1998-06-24	Sal3	A	0	0	0	0	2 active lemming burrows	No remarks
1998-06-24	Sal3	B	12	0	0	0	2 active lemming burrows	No remarks
1998-06-24	Sal3	C	10	0	0	0	2 active lemming burrows	No remarks
1998-06-24	Sal3	D	0	0	0	0	2 active lemming burrows	No remarks
1998-06-24	Sal4	A	32	0	0	0	No remarks	No remarks
1998-06-24	Sal4	B	17	0	0	0	No remarks	No remarks
1998-06-24	Sal4	C	4	0	0	0	No remarks	No remarks
1998-06-24	Sal4	D	10	0	0	0	No remarks	No remarks
1998-07-01	Sal2	A	6	0	0	0	No remarks	No remarks
1998-07-01	Sal2	B	3	0	0	0	No remarks	No remarks
1998-07-01	Sal2	C	16	0	0	0	No remarks	No remarks
1998-07-01	Sal2	D	0	0	0	0	No remarks	No remarks
1998-07-01	Sal3	A	0	0	0	0	No remarks	No remarks
1998-07-01	Sal3	B	1	11	6	0	No remarks	No remarks
1998-07-01	Sal3	C	3	7	3	0	No remarks	No remarks
1998-07-01	Sal3	D	2	0	0	0	No remarks	No remarks
1998-07-01	Sal4	A	19	8	29	0	No remarks	No remarks
1998-07-01	Sal4	B	22	0	3	0	No remarks	No remarks
1998-07-01	Sal4	C	3	0	0	0	No remarks	No remarks
1998-07-01	Sal4	D	15	3	6	0	No remarks	No remarks
1998-07-02	Sal1	A	1	7	26	0	No remarks	No remarks
1998-07-02	Sal1	B	1	2	17	0	No remarks	No remarks
1998-07-02	Sal1	C	0	2	28	0	No remarks	No remarks
1998-07-02	Sal1	D	1	3	21	0	No remarks	No remarks
1998-07-08	Sal1	A	0	11	33	0	No remarks	No remarks
1998-07-08	Sal1	B	0	8	32	0	No remarks	No remarks
1998-07-08	Sal1	C	0	2	34	0	No remarks	No remarks
1998-07-08	Sal1	D	0	2	48	0	No remarks	No remarks
1998-07-08	Sal2	A	21	6	6	0	No remarks	No remarks
1998-07-08	Sal2	B	22	1	0	0	No remarks	No remarks
1998-07-08	Sal2	C	35	2	7	0	No remarks	No remarks
1998-07-08	Sal2	D	11	6	9	0	No remarks	No remarks
1998-07-08	Sal3	A	1	0	0	0	No remarks	No remarks
1998-07-08	Sal3	B	3	16	3	0	No remarks	No remarks
1998-07-08	Sal3	C	0	11	4	0	No remarks	No remarks
1998-07-08	Sal3	D	3	2	0	0	No remarks	No remarks
1998-07-08	Sal4	A	0	25	29	0	No remarks	No remarks
1998-07-08	Sal4	B	0	27	23	0	No remarks	No remarks
1998-07-08	Sal4	C	0	31	19	0	No remarks	No remarks
1998-07-08	Sal4	D	0	17	11	0	No remarks	No remarks
1998-07-15	Sal1	A	0	2	30	0	No remarks	No remarks
1998-07-15	Sal1	B	0	11	21	0	No remarks	No remarks
1998-07-15	Sal1	C	0	2	48	0	No remarks	No remarks
1998-07-15	Sal1	D	0	1	43	0	No remarks	No remarks
1998-07-15	Sal2	A	0	20	30	0	No remarks	No remarks
1998-07-15	Sal2	B	0	8	42	0	No remarks	No remarks
1998-07-15	Sal2	C	10	8	32	0	No remarks	No remarks
1998-07-15	Sal2	D	0	14	36	0	No remarks	No remarks
1998-07-15	Sal3	A	0	0	2	0	No remarks	No remarks
1998-07-15	Sal3	B	0	22	18	0	No remarks	No remarks
1998-07-15	Sal3	C	0	8	18	0	No remarks	No remarks
1998-07-15	Sal3	D	0	2	0	0	No remarks	No remarks
1998-07-15	Sal4	A	0	121	254	0	No remarks	No remarks
1998-07-15	Sal4	B	0	198	175	0	No remarks	No remarks
1998-07-15	Sal4	C	0	101	159	0	No remarks	No remarks
1998-07-15	Sal4	D	0	89	121	0	No remarks	No remarks
1998-07-22	Sal1	A	0	-9999	31	0	No remarks	No remarks
1998-07-22	Sal1	B	0	-9999	20	0	No remarks	No remarks
1998-07-22	Sal1	C	0	-9999	50	0	No remarks	No remarks
1998-07-22	Sal1	D	0	-9999	45	0	No remarks	No remarks
1998-07-22	Sal2	A	0	8	42	0	No remarks	No remarks
1998-07-22	Sal2	B	0	0	42	0	No remarks	No remarks
1998-07-22	Sal2	C	0	17	33	0	No remarks	No remarks
1998-07-22	Sal2	D	0	12	38	0	No remarks	No remarks
1998-07-22	Sal3	A	0	0	2	0	No remarks	No remarks
1998-07-22	Sal3	B	0	15	17	0	No remarks	No remarks
1998-07-22	Sal3	C	0	8	18	0	No remarks	No remarks
1998-07-22	Sal3	D	0	2	1	0	No remarks	No remarks
1998-07-22	Sal4	A	0	9	41	0	No remarks	No remarks
1998-07-22	Sal4	B	0	21	29	0	No remarks	No remarks
1998-07-22	Sal4	C	0	15	35	0	No remarks	No remarks
1998-07-22	Sal4	D	0	6	44	0	No remarks	No remarks
1998-07-29	Sal1	A	0	-9999	29	2	No remarks	No remarks
1998-07-29	Sal1	B	0	-9999	20	0	No remarks	No remarks
1998-07-29	Sal1	C	0	-9999	48	2	No remarks	No remarks
1998-07-29	Sal1	D	0	-9999	45	0	No remarks	No remarks
1998-07-29	Sal2	A	0	2	29	0	No remarks	No remarks
1998-07-29	Sal2	B	0	0	42	0	No remarks	No remarks
1998-07-29	Sal2	C	0	3	30	0	No remarks	No remarks
1998-07-29	Sal2	D	0	2	37	0	No remarks	No remarks
1998-07-29	Sal3	A	0	0	1	0	No remarks	No remarks
1998-07-29	Sal3	B	0	7	16	0	No remarks	No remarks
1998-07-29	Sal3	C	0	2	18	0	No remarks	No remarks
1998-07-29	Sal3	D	0	0	1	0	No remarks	No remarks
1998-07-29	Sal4	A	0	8	42	0	No remarks	No remarks
1998-07-29	Sal4	B	0	7	43	0	No remarks	No remarks
1998-07-29	Sal4	C	0	3	47	0	No remarks	No remarks
1998-07-29	Sal4	D	0	5	45	0	No remarks	No remarks
1998-08-05	Sal1	A	0	-9999	15	15	No remarks	No remarks
1998-08-05	Sal1	B	0	-9999	11	8	No remarks	No remarks
1998-08-05	Sal1	C	0	-9999	27	23	No remarks	No remarks
1998-08-05	Sal1	D	0	-9999	20	25	No remarks	No remarks
1998-08-05	Sal2	A	0	-9999	28	1	No remarks	No remarks
1998-08-05	Sal2	B	0	-9999	42	0	No remarks	No remarks
1998-08-05	Sal2	C	0	-9999	29	0	No remarks	No remarks
1998-08-05	Sal2	D	0	-9999	36	0	No remarks	No remarks
1998-08-05	Sal3	A	0	-9999	1	0	No remarks	No remarks
1998-08-05	Sal3	B	0	-9999	16	0	No remarks	No remarks
1998-08-05	Sal3	C	0	-9999	18	0	No remarks	No remarks
1998-08-05	Sal3	D	0	-9999	1	0	No remarks	No remarks
1998-08-05	Sal4	A	0	-9999	50	0	No remarks	No remarks
1998-08-05	Sal4	B	0	-9999	50	0	No remarks	No remarks
1998-08-05	Sal4	C	0	-9999	50	0	No remarks	No remarks
1998-08-05	Sal4	D	0	-9999	50	0	No remarks	No remarks
1998-08-12	Sal1	A	0	-9999	11	19	No remarks	No remarks
1998-08-12	Sal1	B	0	-9999	10	10	No remarks	No remarks
1998-08-12	Sal1	C	0	-9999	21	29	No remarks	No remarks
1998-08-12	Sal1	D	0	-9999	16	29	No remarks	No remarks
1998-08-12	Sal2	A	0	-9999	25	3	No remarks	No remarks
1998-08-12	Sal2	B	0	-9999	40	1	No remarks	No remarks
1998-08-12	Sal2	C	0	-9999	30	0	No remarks	No remarks
1998-08-12	Sal2	D	0	-9999	34	2	No remarks	No remarks
1998-08-12	Sal3	A	0	-9999	0	0	No remarks	No remarks
1998-08-12	Sal3	B	0	-9999	21	0	No remarks	No remarks
1998-08-12	Sal3	C	0	-9999	14	0	No remarks	No remarks
1998-08-12	Sal3	D	0	-9999	1	3	No remarks	No remarks
1998-08-12	Sal4	A	0	-9999	40	10	No remarks	No remarks
1998-08-12	Sal4	B	0	-9999	50	0	No remarks	No remarks
1998-08-12	Sal4	C	0	-9999	50	0	No remarks	No remarks
1998-08-12	Sal4	D	0	-9999	50	0	No remarks	No remarks
1998-08-19	Sal1	A	0	-9999	3	42	No remarks	No remarks
1998-08-19	Sal1	B	0	-9999	1	15	No remarks	No remarks
1998-08-19	Sal1	C	0	-9999	3	37	No remarks	No remarks
1998-08-19	Sal1	D	0	-9999	1	49	No remarks	No remarks
1998-08-19	Sal2	A	0	-9999	42	2	No remarks	No remarks
1998-08-19	Sal2	B	0	-9999	48	2	No remarks	No remarks
1998-08-19	Sal2	C	0	-9999	35	3	No remarks	No remarks
1998-08-19	Sal2	D	0	-9999	38	4	No remarks	No remarks
1998-08-19	Sal3	A	0	-9999	0	0	No remarks	No remarks
1998-08-19	Sal3	B	0	-9999	13	0	No remarks	No remarks
1998-08-19	Sal3	C	0	-9999	0	2	No remarks	No remarks
1998-08-19	Sal3	D	0	-9999	0	17	No remarks	No remarks
1998-08-19	Sal4	A	0	-9999	5	11	No remarks	No remarks
1998-08-19	Sal4	B	0	-9999	21	2	No remarks	No remarks
1998-08-19	Sal4	C	0	-9999	21	6	No remarks	No remarks
1998-08-19	Sal4	D	0	-9999	29	31	No remarks	No remarks
1998-08-26	Sal1	A	0	-9999	0	45	No remarks	No remarks
1998-08-26	Sal1	B	0	-9999	0	16	No remarks	No remarks
1998-08-26	Sal1	C	0	-9999	0	40	No remarks	No remarks
1998-08-26	Sal1	D	0	-9999	0	50	No remarks	No remarks
1998-08-26	Sal2	A	0	-9999	39	16	No remarks	No remarks
1998-08-26	Sal2	B	0	-9999	52	7	No remarks	No remarks
1998-08-26	Sal2	C	0	-9999	51	11	No remarks	No remarks
1998-08-26	Sal2	D	0	-9999	53	14	No remarks	No remarks
1998-08-26	Sal3	A	0	-9999	3	0	No remarks	No remarks
1998-08-26	Sal3	B	0	-9999	1	11	No remarks	No remarks
1998-08-26	Sal3	C	0	-9999	0	19	No remarks	No remarks
1998-08-26	Sal3	D	0	-9999	0	0	No remarks	No remarks
1998-08-26	Sal4	A	0	-9999	4	52	No remarks	No remarks
1998-08-26	Sal4	B	0	-9999	8	22	No remarks	No remarks
1998-08-26	Sal4	C	0	-9999	15	36	No remarks	No remarks
