Date	Plot	Section	Buds	Flowers	Senescent	Open	Eaten	Field_remarks	General_remarks
1996-08-12	Pap1	A-D	1	5	71	36	-9999	No remarks	No remarks
1996-08-12	Pap2	A-D	3	7	94	32	-9999	No remarks	No remarks
1996-08-12	Pap3	A-D	1	4	61	41	-9999	No remarks	No remarks
1996-08-12	Pap4	A-D	0	4	1	0	-9999	No remarks	No remarks
1996-08-19	Pap1	A-D	1	1	20	78	58	No remarks	No remarks
1996-08-19	Pap2	A-D	0	1	20	89	13	No remarks	No remarks
1996-08-19	Pap3	A-D	1	0	2	98	1	No remarks	No remarks
1996-08-19	Pap4	A-D	-9999	-9999	-9999	-9999	98	7 uneaten	No remarks
1996-08-26	Pap1	A-D	0	0	2	98	0	No remarks	No remarks
1996-08-26	Pap2	A-D	1	0	1	98	0	No remarks	No remarks
1996-08-26	Pap3	A-D	0	0	0	100	0	No remarks	No remarks
1997-06-24	Pap1	A	0	0	0	0	0	No remarks	No remarks
1997-06-24	Pap1	B	0	0	0	0	0	No remarks	No remarks
1997-06-24	Pap1	C	0	0	0	0	0	No remarks	No remarks
1997-06-24	Pap1	D	0	0	0	0	0	No remarks	No remarks
1997-06-24	Pap2	A	0	0	0	0	0	No remarks	No remarks
1997-06-24	Pap2	B	0	0	0	0	0	No remarks	No remarks
1997-06-24	Pap2	C	0	0	0	0	0	No remarks	No remarks
1997-06-24	Pap2	D	0	0	0	0	0	No remarks	No remarks
1997-06-24	Pap3	A	0	0	0	0	0	No remarks	No remarks
1997-06-24	Pap3	B	0	0	0	0	0	No remarks	No remarks
1997-06-24	Pap3	C	0	0	0	0	0	No remarks	No remarks
1997-06-24	Pap3	D	0	0	0	0	0	No remarks	No remarks
1997-07-01	Pap1	A	0	0	0	0	0	No remarks	No remarks
1997-07-01	Pap1	B	0	0	0	0	0	No remarks	No remarks
1997-07-01	Pap1	C	0	0	0	0	0	No remarks	No remarks
1997-07-01	Pap1	D	0	0	0	0	0	No remarks	No remarks
1997-07-01	Pap2	A	4	0	0	0	0	No remarks	No remarks
1997-07-01	Pap2	B	5	0	0	0	0	No remarks	No remarks
1997-07-01	Pap2	C	10	0	0	0	0	No remarks	No remarks
1997-07-01	Pap2	D	12	0	0	0	0	No remarks	No remarks
1997-07-01	Pap3	A	2	0	0	0	0	No remarks	No remarks
1997-07-01	Pap3	B	10	0	0	0	0	No remarks	No remarks
1997-07-01	Pap3	C	5	0	0	0	0	No remarks	No remarks
1997-07-01	Pap3	D	12	0	0	0	0	No remarks	No remarks
1997-07-08	Pap1	A	9	0	0	0	0	No remarks	No remarks
1997-07-08	Pap1	B	13	0	0	0	0	No remarks	No remarks
1997-07-08	Pap1	C	10	0	0	0	0	No remarks	No remarks
1997-07-08	Pap1	D	16	0	0	0	0	No remarks	No remarks
1997-07-08	Pap2	A	20	0	0	0	0	No remarks	No remarks
1997-07-08	Pap2	B	19	5	0	0	0	No remarks	No remarks
1997-07-08	Pap2	C	21	0	0	0	0	No remarks	No remarks
1997-07-08	Pap2	D	26	0	0	0	0	No remarks	No remarks
1997-07-08	Pap3	A	14	0	0	0	0	No remarks	No remarks
1997-07-08	Pap3	B	17	0	0	0	0	No remarks	No remarks
1997-07-08	Pap3	C	12	0	0	0	0	No remarks	No remarks
1997-07-08	Pap3	D	15	0	0	0	0	No remarks	No remarks
1997-07-08	Pap4	A	0	0	0	0	0	No remarks	No remarks
1997-07-08	Pap4	B	0	0	0	0	0	No remarks	No remarks
1997-07-08	Pap4	C	0	0	0	0	0	No remarks	No remarks
1997-07-08	Pap4	D	0	0	0	0	0	No remarks	No remarks
1997-07-15	Pap1	A	14	7	0	0	0	No remarks	No remarks
1997-07-15	Pap1	B	14	0	0	0	0	No remarks	No remarks
1997-07-15	Pap1	C	2	1	0	0	0	No remarks	No remarks
1997-07-15	Pap1	D	11	0	0	0	0	No remarks	No remarks
1997-07-15	Pap2	A	39	0	0	0	0	No remarks	No remarks
1997-07-15	Pap2	B	43	0	0	0	0	No remarks	No remarks
1997-07-15	Pap2	C	39	0	0	0	0	No remarks	No remarks
1997-07-15	Pap2	D	49	0	0	0	0	No remarks	No remarks
1997-07-15	Pap3	A	24	10	0	0	0	No remarks	No remarks
1997-07-15	Pap3	B	21	2	0	0	0	No remarks	No remarks
1997-07-15	Pap3	C	24	0	0	0	0	No remarks	No remarks
1997-07-15	Pap3	D	22	8	0	0	0	No remarks	No remarks
1997-07-15	Pap4	A	0	0	0	0	0	No remarks	No remarks
1997-07-15	Pap4	B	0	0	0	0	0	No remarks	No remarks
1997-07-15	Pap4	C	0	0	0	0	0	No remarks	No remarks
1997-07-15	Pap4	D	0	0	0	0	0	No remarks	No remarks
1997-07-22	Pap1	A	12	32	0	0	0	No remarks	No remarks
1997-07-22	Pap1	B	15	21	0	0	0	No remarks	No remarks
1997-07-22	Pap1	C	14	14	0	0	0	No remarks	No remarks
1997-07-22	Pap1	D	12	28	0	0	0	No remarks	No remarks
1997-07-22	Pap2	A	22	27	0	0	0	No remarks	No remarks
1997-07-22	Pap2	B	41	10	0	0	0	No remarks	No remarks
1997-07-22	Pap2	C	32	25	0	0	0	No remarks	No remarks
1997-07-22	Pap2	D	16	34	0	0	0	No remarks	No remarks
1997-07-22	Pap3	A	3	44	0	0	0	No remarks	No remarks
1997-07-22	Pap3	B	17	30	0	0	0	No remarks	No remarks
1997-07-22	Pap3	C	19	30	0	0	0	No remarks	No remarks
1997-07-22	Pap3	D	4	41	3	0	0	No remarks	No remarks
1997-07-22	Pap4	A	0	0	0	0	0	No remarks	No remarks
1997-07-22	Pap4	B	0	0	0	0	0	No remarks	No remarks
1997-07-22	Pap4	C	0	0	0	0	0	No remarks	No remarks
1997-07-22	Pap4	D	0	0	0	0	0	No remarks	No remarks
1997-07-29	Pap1	A	7	34	7	0	0	No remarks	No remarks
1997-07-29	Pap1	B	8	38	11	0	0	No remarks	No remarks
1997-07-29	Pap1	C	2	39	2	0	0	No remarks	No remarks
1997-07-29	Pap1	D	4	34	3	0	0	No remarks	No remarks
1997-07-29	Pap2	A	8	44	0	0	0	No remarks	No remarks
1997-07-29	Pap2	B	14	46	1	0	0	No remarks	No remarks
1997-07-29	Pap2	C	7	42	4	0	5	No remarks	No remarks
1997-07-29	Pap2	D	5	50	3	0	12	No remarks	No remarks
1997-07-29	Pap3	A	1	40	20	0	0	No remarks	No remarks
1997-07-29	Pap3	B	0	55	1	0	0	No remarks	No remarks
1997-07-29	Pap3	C	0	51	1	0	0	No remarks	No remarks
1997-07-29	Pap3	D	1	43	9	0	0	No remarks	No remarks
1997-07-29	Pap4	A	7	0	0	0	12	No remarks	No remarks
1997-07-29	Pap4	B	15	6	0	0	0	No remarks	No remarks
1997-07-29	Pap4	C	11	0	0	0	5	No remarks	No remarks
1997-07-29	Pap4	D	18	0	0	0	19	No remarks	No remarks
1997-08-05	Pap1	A	0	15	36	0	2	No remarks	No remarks
1997-08-05	Pap1	B	3	20	23	0	0	No remarks	No remarks
1997-08-05	Pap1	C	0	20	23	0	0	No remarks	No remarks
1997-08-05	Pap1	D	1	13	31	0	0	No remarks	No remarks
1997-08-05	Pap2	A	2	21	32	0	4	No remarks	No remarks
1997-08-05	Pap2	B	7	35	34	0	2	No remarks	No remarks
1997-08-05	Pap2	C	9	19	32	0	4	No remarks	No remarks
1997-08-05	Pap2	D	0	10	40	0	3	No remarks	No remarks
1997-08-05	Pap3	A	1	4	34	0	0	No remarks	No remarks
1997-08-05	Pap3	B	0	2	46	0	0	No remarks	No remarks
1997-08-05	Pap3	C	0	6	49	0	0	No remarks	No remarks
1997-08-05	Pap3	D	1	4	43	0	0	No remarks	No remarks
1997-08-05	Pap4	A	10	8	0	0	14	No remarks	No remarks
1997-08-05	Pap4	B	20	6	0	0	2	No remarks	No remarks
1997-08-05	Pap4	C	22	2	0	0	1	No remarks	No remarks
1997-08-05	Pap4	D	12	9	0	0	18	No remarks	No remarks
1997-08-12	Pap1	A	0	49	5	0	0	No remarks	No remarks
1997-08-12	Pap1	B	0	6	46	0	1	No remarks	No remarks
1997-08-12	Pap1	C	0	3	31	0	0	No remarks	No remarks
1997-08-12	Pap1	D	3	5	30	0	0	No remarks	No remarks
1997-08-12	Pap2	A	0	5	52	0	38	No remarks	No remarks
1997-08-12	Pap2	B	0	5	54	0	0	No remarks	No remarks
1997-08-12	Pap2	C	0	6	60	0	0	No remarks	No remarks
1997-08-12	Pap2	D	1	3	45	0	12	No remarks	No remarks
1997-08-12	Pap3	A	0	0	47	0	1	No remarks	No remarks
1997-08-12	Pap3	B	0	0	45	0	1	No remarks	No remarks
1997-08-12	Pap3	C	0	0	47	0	1	No remarks	No remarks
1997-08-12	Pap3	D	0	1	42	0	0	No remarks	No remarks
1997-08-12	Pap4	A	0	29	6	0	1	No remarks	No remarks
1997-08-12	Pap4	B	1	50	4	0	0	No remarks	No remarks
1997-08-12	Pap4	C	1	31	0	0	2	No remarks	No remarks
1997-08-12	Pap4	D	2	38	1	0	8	No remarks	No remarks
1997-08-19	Pap1	A	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Pap1	B	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Pap1	C	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Pap1	D	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Pap2	A	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Pap2	B	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Pap2	C	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Pap2	D	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Pap3	A	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Pap3	B	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Pap3	C	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Pap3	D	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Pap4	A	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Pap4	B	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Pap4	C	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-19	Pap4	D	-9999	-9999	-9999	-9999	-9999	No records	No remarks
1997-08-27	Pap2	A-D	0	0	46	95	7	No remarks	No remarks
1997-08-27	Pap3	A-D	0	0	0	50	1	No remarks	No remarks
1997-08-27	Pap4	A-D	0	0	16	2	27	No remarks	No remarks
1998-06-24	Pap1	A	0	0	0	0	0	No remarks	No remarks
1998-06-24	Pap1	B	0	0	0	0	0	No remarks	No remarks
1998-06-24	Pap1	C	0	0	0	0	0	No remarks	No remarks
1998-06-24	Pap1	D	0	0	0	0	0	No remarks	No remarks
1998-06-24	Pap2	A	0	0	0	0	0	No remarks	No remarks
1998-06-24	Pap2	B	0	0	0	0	0	No remarks	No remarks
1998-06-24	Pap2	C	0	0	0	0	0	No remarks	No remarks
1998-06-24	Pap2	D	0	0	0	0	0	No remarks	No remarks
1998-06-24	Pap3	A	0	0	0	0	0	No remarks	No remarks
1998-06-24	Pap3	B	0	0	0	0	0	No remarks	No remarks
1998-06-24	Pap3	C	0	0	0	0	0	No remarks	No remarks
1998-06-24	Pap3	D	0	0	0	0	0	No remarks	No remarks
1998-07-01	Pap2	A	0	0	0	0	0	No remarks	No remarks
1998-07-01	Pap2	B	0	0	0	0	0	No remarks	No remarks
1998-07-01	Pap2	C	0	0	0	0	0	No remarks	No remarks
1998-07-01	Pap2	D	0	0	0	0	0	No remarks	No remarks
1998-07-01	Pap3	A	0	0	0	0	0	No remarks	No remarks
1998-07-01	Pap3	B	0	0	0	0	0	No remarks	No remarks
1998-07-01	Pap3	C	0	0	0	0	0	No remarks	No remarks
1998-07-01	Pap3	D	0	0	0	0	0	No remarks	No remarks
1998-07-02	Pap1	A	0	0	0	0	0	No remarks	No remarks
1998-07-02	Pap1	B	0	0	0	0	0	No remarks	No remarks
1998-07-02	Pap1	C	0	0	0	0	0	No remarks	No remarks
1998-07-02	Pap1	D	0	0	0	0	0	No remarks	No remarks
1998-07-08	Pap1	A	0	0	0	0	0	No remarks	No remarks
1998-07-08	Pap1	B	0	0	0	0	0	No remarks	No remarks
1998-07-08	Pap1	C	0	0	0	0	0	No remarks	No remarks
1998-07-08	Pap1	D	0	0	0	0	0	No remarks	No remarks
1998-07-08	Pap2	A	7	0	0	0	0	No remarks	No remarks
1998-07-08	Pap2	B	16	0	0	0	0	No remarks	No remarks
1998-07-08	Pap2	C	9	0	0	0	0	No remarks	No remarks
1998-07-08	Pap2	D	5	0	0	0	0	No remarks	No remarks
1998-07-08	Pap3	A	3	0	0	0	0	No remarks	No remarks
1998-07-08	Pap3	B	2	0	0	0	0	No remarks	No remarks
1998-07-08	Pap3	C	2	0	0	0	0	No remarks	No remarks
1998-07-08	Pap3	D	5	0	0	0	0	No remarks	No remarks
1998-07-08	Pap4	A	0	0	0	0	0	No remarks	No remarks
1998-07-08	Pap4	B	0	0	0	0	0	No remarks	No remarks
1998-07-08	Pap4	C	0	0	0	0	0	No remarks	No remarks
1998-07-08	Pap4	D	0	0	0	0	0	No remarks	No remarks
1998-07-15	Pap1	A	3	0	0	0	0	No remarks	No remarks
1998-07-15	Pap1	B	11	0	0	0	0	No remarks	No remarks
1998-07-15	Pap1	C	0	0	0	0	0	No remarks	No remarks
1998-07-15	Pap1	D	9	0	0	0	0	No remarks	No remarks
1998-07-15	Pap2	A	8	0	0	0	0	No remarks	No remarks
1998-07-15	Pap2	B	27	0	0	0	0	No remarks	No remarks
1998-07-15	Pap2	C	9	0	0	0	0	No remarks	No remarks
1998-07-15	Pap2	D	11	0	0	0	0	No remarks	No remarks
1998-07-15	Pap3	A	10	0	0	0	0	No remarks	No remarks
1998-07-15	Pap3	B	11	1	0	0	0	No remarks	No remarks
1998-07-15	Pap3	C	13	0	0	0	0	No remarks	No remarks
1998-07-15	Pap3	D	17	0	0	0	0	No remarks	No remarks
1998-07-15	Pap4	A	0	0	0	0	0	No remarks	No remarks
1998-07-15	Pap4	B	0	0	0	0	0	No remarks	No remarks
1998-07-15	Pap4	C	0	0	0	0	0	No remarks	No remarks
1998-07-15	Pap4	D	0	0	0	0	0	No remarks	No remarks
1998-07-22	Pap1	A	4	5	0	0	0	No remarks	No remarks
1998-07-22	Pap1	B	10	13	0	0	0	No remarks	No remarks
1998-07-22	Pap1	C	3	0	0	0	0	No remarks	No remarks
1998-07-22	Pap1	D	12	1	0	0	0	No remarks	No remarks
1998-07-22	Pap2	A	39	9	0	0	0	No remarks	No remarks
1998-07-22	Pap2	B	35	2	0	0	0	No remarks	No remarks
1998-07-22	Pap2	C	17	0	0	0	0	No remarks	No remarks
1998-07-22	Pap2	D	13	0	0	0	0	No remarks	No remarks
1998-07-22	Pap3	A	14	5	0	0	0	No remarks	No remarks
1998-07-22	Pap3	B	14	2	0	0	0	No remarks	No remarks
1998-07-22	Pap3	C	15	1	0	0	0	No remarks	No remarks
1998-07-22	Pap3	D	19	1	0	0	0	No remarks	No remarks
1998-07-22	Pap4	A	0	0	0	0	0	No remarks	No remarks
1998-07-22	Pap4	B	0	0	0	0	0	No remarks	No remarks
1998-07-22	Pap4	C	0	0	0	0	0	No remarks	No remarks
1998-07-22	Pap4	D	0	0	0	0	0	No remarks	No remarks
1998-07-29	Pap1	A	9	19	2	0	0	No remarks	No remarks
1998-07-29	Pap1	B	11	72	1	0	0	No remarks	No remarks
1998-07-29	Pap1	C	8	27	0	0	0	No remarks	No remarks
1998-07-29	Pap1	D	16	28	0	0	0	No remarks	No remarks
1998-07-29	Pap2	A	3	50	0	0	0	No remarks	No remarks
1998-07-29	Pap2	B	17	33	0	0	0	No remarks	No remarks
1998-07-29	Pap2	C	11	34	0	0	0	No remarks	No remarks
1998-07-29	Pap2	D	12	38	0	0	0	No remarks	No remarks
1998-07-29	Pap3	A	9	41	0	0	0	No remarks	No remarks
1998-07-29	Pap3	B	7	43	0	0	0	No remarks	No remarks
1998-07-29	Pap3	C	9	41	0	0	0	No remarks	No remarks
1998-07-29	Pap3	D	5	45	0	0	0	No remarks	No remarks
1998-07-29	Pap4	A	0	0	0	0	0	No remarks	No remarks
1998-07-29	Pap4	B	0	0	0	0	0	No remarks	No remarks
1998-07-29	Pap4	C	2	0	0	0	0	No remarks	No remarks
1998-07-29	Pap4	D	5	0	0	0	0	No remarks	No remarks
1998-08-05	Pap1	A	0	26	24	0	0	No remarks	No remarks
1998-08-05	Pap1	B	1	14	36	0	0	No remarks	No remarks
1998-08-05	Pap1	C	0	17	15	0	0	No remarks	No remarks
1998-08-05	Pap1	D	0	30	20	0	0	No remarks	No remarks
1998-08-05	Pap3	A	2	28	20	0	0	No remarks	No remarks
1998-08-05	Pap3	B	0	32	18	0	0	No remarks	No remarks
1998-08-05	Pap3	C	0	27	23	0	0	No remarks	No remarks
1998-08-05	Pap3	D	0	35	15	0	0	No remarks	No remarks
1998-08-05	Pap4	A	8	0	0	0	0	No remarks	No remarks
1998-08-05	Pap4	B	5	0	0	0	0	No remarks	No remarks
1998-08-05	Pap4	C	18	0	0	0	0	No remarks	No remarks
1998-08-05	Pap4	D	12	0	0	0	0	No remarks	No remarks
1998-08-12	Pap2	A	0	23	27	0	0	No remarks	No remarks
1998-08-12	Pap2	B	0	18	32	0	0	No remarks	No remarks
1998-08-12	Pap2	C	0	15	35	0	0	No remarks	No remarks
1998-08-12	Pap2	D	0	19	31	0	0	No remarks	No remarks
1998-08-19	Pap1	A	0	1	23	1	0	No remarks	No remarks
1998-08-19	Pap1	B	0	0	39	2	0	No remarks	No remarks
1998-08-19	Pap1	C	0	6	27	0	0	No remarks	No remarks
1998-08-19	Pap1	D	0	3	18	0	6	No remarks	No remarks
1998-08-19	Pap2	A	0	1	66	1	0	No remarks	No remarks
1998-08-19	Pap2	B	0	3	28	0	6	No remarks	No remarks
1998-08-19	Pap2	C	0	3	27	0	1	No remarks	No remarks
1998-08-19	Pap2	D	0	2	48	0	0	No remarks	No remarks
1998-08-19	Pap3	A	0	1	59	0	0	No remarks	No remarks
1998-08-19	Pap3	B	0	1	59	1	0	No remarks	No remarks
1998-08-19	Pap3	C	0	2	58	0	0	No remarks	No remarks
1998-08-19	Pap3	D	0	1	60	0	0	No remarks	No remarks
1998-08-19	Pap4	A	1	4	1	0	0	No remarks	No remarks
1998-08-19	Pap4	B	2	14	0	0	0	No remarks	No remarks
1998-08-19	Pap4	C	7	26	0	0	0	No remarks	No remarks
1998-08-19	Pap4	D	0	12	0	0	0	No remarks	No remarks
1998-08-26	Pap1	A	0	0	12	16	0	No remarks	No remarks
1998-08-26	Pap1	B	0	1	37	16	0	No remarks	No remarks
1998-08-26	Pap1	C	0	0	25	11	0	No remarks	No remarks
1998-08-26	Pap1	D	0	0	24	3	0	No remarks	No remarks
1998-08-27	Pap2	A	0	0	6	3	54	No remarks	No remarks
1998-08-27	Pap2	B	0	0	4	0	57	No remarks	No remarks
1998-08-27	Pap2	C	0	0	1	0	29	No remarks	No remarks
1998-08-27	Pap2	D	0	0	1	0	32	No remarks	No remarks
1998-08-27	Pap3	A	0	0	1	1	37	No remarks	No remarks
1998-08-27	Pap3	B	0	0	7	1	48	No remarks	No remarks
1998-08-27	Pap3	C	0	0	4	3	46	No remarks	No remarks
1998-08-27	Pap3	D	0	0	3	0	39	No remarks	No remarks
1998-08-27	Pap4	A	0	0	3	0	0	No remarks	No remarks
1998-08-27	Pap4	B	0	7	5	0	2	No remarks	No remarks
1998-08-27	Pap4	C	0	1	5	0	19	No remarks	No remarks
1998-08-27	Pap4	D	0	1	4	0	12	No remarks	No remarks
1999-07-01	Pap1	A	0	0	0	0	0	No remarks	No remarks
1999-07-01	Pap1	B	0	0	0	0	0	No remarks	No remarks
1999-07-01	Pap1	C	0	0	0	0	0	No remarks	No remarks
1999-07-01	Pap1	D	0	0	0	0	0	No remarks	No remarks
1999-07-01	Pap2	A	0	0	0	0	0	No remarks	No remarks
1999-07-01	Pap2	B	0	0	0	0	0	No remarks	No remarks
1999-07-01	Pap2	C	0	0	0	0	0	No remarks	No remarks
1999-07-01	Pap2	D	0	0	0	0	0	No remarks	No remarks
1999-07-01	Pap3	A	0	0	0	0	0	No remarks	No remarks
1999-07-01	Pap3	B	0	0	0	0	0	No remarks	No remarks
1999-07-01	Pap3	C	0	0	0	0	0	No remarks	No remarks
1999-07-01	Pap3	D	0	0	0	0	0	No remarks	No remarks
1999-07-08	Pap1	A	0	0	0	0	0	No remarks	No remarks
1999-07-08	Pap1	B	0	0	0	0	0	No remarks	No remarks
1999-07-08	Pap1	C	0	0	0	0	0	No remarks	No remarks
1999-07-08	Pap1	D	0	0	0	0	0	No remarks	No remarks
1999-07-08	Pap2	A	0	0	0	0	0	No remarks	No remarks
1999-07-08	Pap2	B	0	0	0	0	0	No remarks	No remarks
1999-07-08	Pap2	C	0	0	0	0	0	No remarks	No remarks
1999-07-08	Pap2	D	0	0	0	0	0	No remarks	No remarks
1999-07-08	Pap3	A	0	0	0	0	0	No remarks	No remarks
1999-07-08	Pap3	B	0	0	0	0	0	No remarks	No remarks
1999-07-08	Pap3	C	0	0	0	0	0	No remarks	No remarks
1999-07-08	Pap3	D	0	0	0	0	0	No remarks	No remarks
1999-07-15	Pap1	A	0	0	0	0	0	No remarks	No remarks
1999-07-15	Pap1	B	0	0	0	0	0	No remarks	No remarks
1999-07-15	Pap1	C	0	0	0	0	0	No remarks	No remarks
1999-07-15	Pap1	D	0	0	0	0	0	No remarks	No remarks
1999-07-15	Pap2	A	0	0	0	0	0	No remarks	No remarks
1999-07-15	Pap2	B	0	0	0	0	0	No remarks	No remarks
1999-07-15	Pap2	C	0	0	0	0	0	No remarks	No remarks
1999-07-15	Pap2	D	0	0	0	0	0	No remarks	No remarks
1999-07-15	Pap3	A	19	0	0	0	0	No remarks	No remarks
1999-07-15	Pap3	B	20	0	0	0	0	No remarks	No remarks
1999-07-15	Pap3	C	23	0	0	0	0	No remarks	No remarks
1999-07-15	Pap3	D	17	0	0	0	0	No remarks	No remarks
1999-07-15	Pap4	A	0	0	0	0	0	No remarks	No remarks
1999-07-15	Pap4	B	0	0	0	0	0	No remarks	No remarks
1999-07-15	Pap4	C	0	0	0	0	0	No remarks	No remarks
1999-07-15	Pap4	D	0	0	0	0	0	No remarks	No remarks
1999-07-22	Pap1	A	8	0	0	0	0	No remarks	No remarks
1999-07-22	Pap1	B	14	0	0	0	0	No remarks	No remarks
1999-07-22	Pap1	C	17	0	0	0	0	No remarks	No remarks
1999-07-22	Pap1	D	16	0	0	0	0	No remarks	No remarks
1999-07-22	Pap2	A	33	0	0	0	0	No remarks	No remarks
1999-07-22	Pap2	B	20	0	0	0	0	No remarks	No remarks
1999-07-22	Pap2	C	15	0	0	0	0	No remarks	No remarks
1999-07-22	Pap2	D	0	0	0	0	0	No remarks	No remarks
1999-07-22	Pap3	A	18	0	0	0	0	No remarks	No remarks
1999-07-22	Pap3	B	11	0	0	0	0	No remarks	No remarks
1999-07-22	Pap3	C	29	0	0	0	0	No remarks	No remarks
1999-07-22	Pap3	D	16	0	0	0	0	No remarks	No remarks
1999-07-22	Pap4	A	0	0	0	0	0	No remarks	No remarks
1999-07-22	Pap4	B	0	0	0	0	0	No remarks	No remarks
1999-07-22	Pap4	C	0	0	0	0	0	No remarks	No remarks
